ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010206,AMAZONAS,BAGUA,IMAZA,"8,933","5,178","3,755",0,870,"2,706","1,719","2,381","1,212",45,0,"4,182","3,331",130,5,0,"1,285"
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010301,AMAZONAS,BONGARA,JUMBILLA,772,378,394,0,51,168,102,243,183,25,0,352,327,60,10,0,23
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010302,AMAZONAS,BONGARA,COROSHA,402,220,182,0,52,113,64,113,59,1,0,291,75,5,1,0,30
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010303,AMAZONAS,BONGARA,CUISPES,483,249,234,0,39,125,67,156,88,8,0,311,125,5,3,0,39
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010304,AMAZONAS,BONGARA,CHISQUILLA,255,133,122,0,17,55,54,78,49,2,0,157,79,12,3,0,4
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010305,AMAZONAS,BONGARA,CHURUJA,328,172,156,0,24,47,49,112,81,15,0,185,102,7,2,0,32
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010306,AMAZONAS,BONGARA,FLORIDA,"2,590","1,384","1,206",0,206,679,434,763,477,31,0,"1,473",773,73,7,0,264
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010307,AMAZONAS,BONGARA,RECTA,323,178,145,0,25,87,41,100,64,6,0,218,81,11,0,0,13
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010308,AMAZONAS,BONGARA,SAN CARLOS,379,188,191,0,24,70,55,131,86,13,0,226,114,18,2,0,19
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010309,AMAZONAS,BONGARA,SHIPASBAMBA,704,415,289,0,61,178,104,214,135,12,0,444,184,16,0,0,60
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010310,AMAZONAS,BONGARA,VALERA,565,319,246,0,47,127,72,186,124,9,0,410,118,9,1,0,27
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010311,AMAZONAS,BONGARA,YAMBRASBAMBA,"2,463","1,378","1,085",0,222,715,396,721,399,10,0,"1,468",652,31,2,0,310
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010312,AMAZONAS,BONGARA,JAZAN,"4,668","2,421","2,247",0,413,"1,156",680,"1,411",926,82,0,"2,255","1,846",279,56,0,232
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010401,AMAZONAS,LUYA,LAMUD,"1,347",610,737,0,87,275,160,454,315,56,0,532,623,106,19,0,67
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010402,AMAZONAS,LUYA,CAMPORREDONDO,"2,570","1,518","1,052",0,183,625,441,791,493,37,0,"1,319",904,76,1,0,270
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010403,AMAZONAS,LUYA,COCABAMBA,852,486,366,0,81,260,121,254,131,5,0,628,112,5,0,0,107
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010404,AMAZONAS,LUYA,COLCAMAR,"1,252",679,573,0,119,325,163,371,266,8,0,784,337,17,0,0,114
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010405,AMAZONAS,LUYA,CONILA,"1,085",595,490,0,80,299,142,340,213,11,0,687,289,8,2,0,99
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010406,AMAZONAS,LUYA,INGUILPATA,447,237,210,0,32,111,63,115,112,14,0,271,153,11,1,0,11
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010407,AMAZONAS,LUYA,LONGUITA,419,237,182,0,40,122,48,119,89,1,0,268,116,5,1,0,29
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010408,AMAZONAS,LUYA,LONYA CHICO,629,330,299,0,55,166,85,167,146,10,0,382,211,13,2,0,21
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010409,AMAZONAS,LUYA,LUYA,"2,070",993,"1,077",0,189,508,281,609,431,52,0,"1,080",720,127,11,0,132
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010410,AMAZONAS,LUYA,LUYA VIEJO,216,102,114,0,15,57,34,58,48,4,0,123,64,0,0,0,29
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010411,AMAZONAS,LUYA,MARIA,475,262,213,0,53,136,57,152,74,3,0,285,165,6,0,0,19
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010412,AMAZONAS,LUYA,OCALLI,"1,580",935,645,0,92,395,223,508,335,27,0,983,462,40,0,0,95
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010413,AMAZONAS,LUYA,OCUMAL,"1,924","1,161",763,0,169,569,280,525,366,15,0,"1,219",559,23,0,0,123
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010414,AMAZONAS,LUYA,PISUQUIA,"1,847","1,142",705,0,175,544,298,550,273,7,0,"1,214",457,14,0,0,162
