ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2041,2041,060304,CAJAMARCA,CELENDIN,HUASMIN,9474,4733,4741,1,830,2227,1333,2482,2091,510,0,4782,2606,72,8,1,2005,22,6,11,12,9423
ELECCIONES REGIONALES Y MUNICIPALES 2042,2042,010404,AMAZONAS,LUYA,COLCAMAR,1699,843,856,0,120,354,201,396,498,130,0,870,598,20,2,0,209,1,1,1,2,1694
ELECCIONES REGIONALES Y MUNICIPALES 2043,2043,100504,ICA,PALPA,SANTA CRUZ,1180,607,573,0,37,218,179,327,351,68,0,230,827,71,15,1,36,1,2,0,0,1177
ELECCIONES REGIONALES Y MUNICIPALES 2044,2044,050713,AYACUCHO,VICTOR FAJARDO,SARHUA,2080,988,1092,0,205,422,234,514,539,166,0,694,848,28,3,0,507,0,1,0,2,2077
ELECCIONES REGIONALES Y MUNICIPALES 2045,2045,040803,AREQUIPA,LA UNION,CHARCANA,497,260,237,0,27,94,58,123,142,53,0,140,267,17,5,0,68,0,0,0,1,496
ELECCIONES REGIONALES Y MUNICIPALES 2046,2046,220207,TACNA,TARATA,ESTIQUE PAMPA,409,204,205,0,9,47,52,113,158,30,0,95,241,53,5,1,14,1,0,0,1,407
ELECCIONES REGIONALES Y MUNICIPALES 2047,2047,240102,CALLAO,CALLAO,BELLAVISTA,71665,34695,36970,0,3564,12053,7820,20216,22321,5691,6,6108,49139,14378,1584,83,367,233,130,29,115,71158
ELECCIONES REGIONALES Y MUNICIPALES 2048,2048,150112,LORETO,MAYNAS,BELEN,48374,24464,23910,0,4148,12071,7043,12797,10577,1738,3,13889,31048,1680,245,15,1494,77,25,23,54,48195
ELECCIONES REGIONALES Y MUNICIPALES 2049,2049,080704,HUANCAVELICA,CHURCAMPA,EL CARMEN,2010,991,1019,0,238,432,221,486,506,127,1,579,964,24,8,0,434,5,0,5,3,1997
ELECCIONES REGIONALES Y MUNICIPALES 2050,2050,220112,TACNA,TACNA,CIUDAD NUEVA,29944,15724,14220,0,2170,8054,5104,8718,5559,339,1,4520,23071,1036,171,10,1135,64,18,7,28,29827
ELECCIONES REGIONALES Y MUNICIPALES 2051,2051,091003,HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,2093,1093,1000,0,171,520,274,511,526,91,0,616,1216,70,7,0,184,2,0,0,1,2090
ELECCIONES REGIONALES Y MUNICIPALES 2052,2052,091103,HUANUCO,YAROWILCA,CAHUAC,1979,1039,940,0,165,456,272,538,444,104,0,527,1212,86,6,0,148,1,1,2,0,1975
ELECCIONES REGIONALES Y MUNICIPALES 2053,2053,070607,CUSCO,CANCHIS,SAN PEDRO,2630,1252,1378,0,134,560,284,640,767,245,0,627,1486,171,29,1,316,9,3,5,1,2612
ELECCIONES REGIONALES Y MUNICIPALES 2054,2054,010508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,1538,822,716,0,78,250,219,415,460,116,0,727,638,39,7,0,127,4,3,0,4,1527
ELECCIONES REGIONALES Y MUNICIPALES 2055,2055,090609,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,1455,731,724,0,85,244,203,453,418,52,0,610,568,16,2,0,259,2,1,0,1,1451
ELECCIONES REGIONALES Y MUNICIPALES 2056,2056,020111,ANCASH,HUARAZ,PIRA,3706,1876,1830,0,264,818,529,1005,888,202,2,1225,1855,69,3,0,552,1,0,0,1,3704
ELECCIONES REGIONALES Y MUNICIPALES 2057,2057,040501,AREQUIPA,CASTILLA,APLAO,7290,3721,3569,0,492,1499,922,2000,2024,353,0,1384,4924,516,85,2,379,4,1,0,3,7282
ELECCIONES REGIONALES Y MUNICIPALES 2058,2058,040201,AREQUIPA,CAYLLOMA,CHIVAY,4688,2343,2345,0,439,1180,681,1105,1056,227,1,996,3139,192,49,0,311,7,1,1,3,4676
ELECCIONES REGIONALES Y MUNICIPALES 2059,2059,020803,ANCASH,HUARI,CHAVIN DE HUANTAR,6589,3395,3194,0,579,1541,961,1683,1486,339,1,1978,3031,137,20,0,1422,3,0,2,0,6584
ELECCIONES REGIONALES Y MUNICIPALES 2060,2060,080410,HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,592,310,282,0,27,114,66,171,168,46,0,140,396,23,4,0,29,0,0,0,1,591
ELECCIONES REGIONALES Y MUNICIPALES 2061,2061,040513,AREQUIPA,CASTILLA,UÑON,211,111,100,0,3,34,23,56,74,21,0,46,132,18,3,0,12,0,0,0,0,211
ELECCIONES REGIONALES Y MUNICIPALES 2062,2062,030102,APURIMAC,ABANCAY,CIRCA,2676,1394,1282,0,126,538,346,701,755,210,0,660,1567,75,16,0,358,12,1,1,3,2659
