ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED
Proceso electoral,Tipo de elección,Año,Ubigeo,Departamento,Provincia,Distrito,Organización politica,Tipo de Organización politica,Votos obtenidos,Total Electores,Votos emitidos
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALIANZA ELECTORAL,"41,910","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"27,938","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"22,942","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"18,863","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,"15,844","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"9,441","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,MOVIMIENTO REGIONAL,"7,160","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,ACCION POPULAR,PARTIDO POLÍTICO,"6,536","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,VOTOS EN BLANCO,,"21,646","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,010000,AMAZONAS,,,VOTOS NULOS,,"11,263","225,853","183,543"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,MOVIMIENTO REGIONAL INDEPENDIENTE CUENTA CONMIGO,MOVIMIENTO REGIONAL,"150,104","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,MOVIMIENTO ACCION NACIONALISTA PERUANO,MOVIMIENTO REGIONAL,"60,518","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"42,885","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"39,246","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,MOVIMIENTO INDEPENDIENTE REGIONAL PURO ANCASH,MOVIMIENTO REGIONAL,"30,051","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO,MOVIMIENTO REGIONAL,"28,609","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,PERU POSIBLE,PARTIDO POLÍTICO,"19,413","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"15,306","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,FUERZA 2011,PARTIDO POLÍTICO,"15,088","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,UNION POR EL PERU,PARTIDO POLÍTICO,"14,596","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,MOVIMIENTO INDEPENDIENTE NUEVO DESTINO,MOVIMIENTO REGIONAL,"8,250","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"6,892","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,MOVIMIENTO NUEVA IZQUIERDA,PARTIDO POLÍTICO,"6,317","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,ANCASH DIGNIDAD,MOVIMIENTO REGIONAL,"5,608","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,MOVIMIENTO INDEPENDIENTE REGIONAL UNIDOS POR ANCASH,MOVIMIENTO REGIONAL,"4,678","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,ACCION POPULAR,PARTIDO POLÍTICO,"3,837","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,SIEMPRE UNIDOS,PARTIDO POLÍTICO,"3,625","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,TODOS POR EL PERU,PARTIDO POLÍTICO,"2,675","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,PARTICIPACION POPULAR,PARTIDO POLÍTICO,"1,980","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,VOTOS EN BLANCO,,"89,736","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,020000,ANCASH,,,VOTOS NULOS,,"77,191","726,897","626,605"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,PODER POPULAR ANDINO,MOVIMIENTO REGIONAL,"50,625","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,MOVIMIENTO POPULAR KALLPA,MOVIMIENTO REGIONAL,"33,659","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"18,535","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"11,169","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,FRENTE POPULAR LLAPANCHIK,MOVIMIENTO REGIONAL,"10,492","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,MOVIMIENTO DE INTEGRACION KECHWA APURIMAC,MOVIMIENTO REGIONAL,"10,097","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,MOVIMIENTO MACROREGIONAL TODAS LAS SANGRES - APURIMAC,MOVIMIENTO REGIONAL,"6,677","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,"MOVIMIENTO ETNOCACERISTA REGIONAL AMA SUA, AMA LLULLA, AMA QUELLA",MOVIMIENTO REGIONAL,"5,026","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,MOVIMIENTO NUEVA IZQUIERDA,PARTIDO POLÍTICO,"3,912","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,KAYPI PROGRESO,MOVIMIENTO REGIONAL,"2,405","239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,PERU POSIBLE,PARTIDO POLÍTICO,703,"239,470","199,936"
ELECCIONES REGIONALES Y MUNICIPALES 2010,REGIONAL,2010,030000,APURIMAC,,,VOTOS EN BLANCO,,"28,132","239,470","199,936"
