ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"15,457","7,209","8,248",0,"1,251","3,884","2,109","4,538","3,191",484,0,"3,565","8,651","2,462",231,11,537,8
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,234,118,116,0,4,42,41,76,63,8,0,108,87,21,5,0,13,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010103,AMAZONAS,CHACHAPOYAS,BALSAS,842,480,362,0,68,209,134,237,175,19,0,466,257,16,4,0,99,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010104,AMAZONAS,CHACHAPOYAS,CHETO,472,248,224,0,34,107,74,141,105,11,0,324,117,5,1,0,25,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,625,345,280,0,55,166,88,162,141,13,0,447,121,5,3,0,49,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,"1,139",622,517,0,87,241,173,318,289,31,0,612,431,49,0,0,47,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010107,AMAZONAS,CHACHAPOYAS,GRANADA,364,196,168,0,33,103,62,101,56,9,0,214,121,5,0,0,24,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,375,172,203,0,17,75,57,103,105,18,0,186,136,16,1,0,36,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,"2,992","1,506","1,486",0,333,857,458,776,541,27,0,"1,787",795,30,0,1,379,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,"2,297","1,216","1,081",0,167,510,295,682,556,87,0,"1,138",817,117,17,0,208,2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,721,356,365,0,55,173,107,208,160,18,0,462,182,2,0,0,75,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,615,297,318,0,48,119,71,171,166,40,0,282,255,24,1,0,53,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,829,409,420,0,52,162,93,259,229,34,0,426,315,25,2,0,61,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,"1,282",648,634,0,79,258,205,456,253,31,0,702,413,52,7,0,108,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,558,300,258,0,47,113,75,168,134,21,0,208,302,29,2,0,17,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,315,169,146,0,22,91,42,99,58,3,0,165,130,4,1,0,15,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,634,301,333,0,48,159,96,181,136,14,0,409,170,8,2,0,45,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,297,140,157,0,17,46,49,87,85,13,0,133,120,19,5,0,20,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,468,241,227,0,36,123,75,115,105,14,0,305,105,13,0,0,45,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,968,533,435,0,76,222,124,281,230,35,0,548,324,19,3,0,74,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010121,AMAZONAS,CHACHAPOYAS,SONCHE,272,142,130,0,14,68,43,76,65,6,0,166,81,4,2,0,19,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010201,AMAZONAS,BAGUA,LA PECA,"11,555","6,481","5,074",0,715,"3,102","1,724","3,359","2,314",341,0,"4,042","5,844",662,86,1,920,3
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010202,AMAZONAS,BAGUA,ARAMANGO,"7,208","4,182","3,026",0,609,"1,938","1,161","2,156","1,232",112,0,"3,889","2,607",93,10,0,609,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010203,AMAZONAS,BAGUA,COPALLIN,"3,841","2,109","1,732",0,267,"1,033",618,"1,062",802,59,0,"1,801","1,541",72,10,0,417,2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010204,AMAZONAS,BAGUA,EL PARCO,"1,215",672,543,0,78,317,182,323,287,28,0,503,557,34,4,0,117,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010205,AMAZONAS,BAGUA,BAGUA,"10,700","5,111","5,589",0,"1,005","2,514","1,479","3,438","2,114",150,0,"2,707","6,142","1,271",129,1,450,6
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010206,AMAZONAS,BAGUA,IMAZA,"11,796","6,531","5,265",0,870,"3,640","2,167","3,232","1,785",102,0,"5,333","4,775",139,7,0,"1,542",2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010301,AMAZONAS,BONGARA,JUMBILLA,745,381,364,0,61,140,83,213,213,35,0,333,319,58,10,0,25,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010302,AMAZONAS,BONGARA,COROSHA,573,306,267,0,57,162,105,150,97,2,0,357,158,10,3,0,45,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010303,AMAZONAS,BONGARA,CUISPES,644,329,315,0,56,150,95,206,122,15,0,385,197,8,3,0,51,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010304,AMAZONAS,BONGARA,CHISQUILLA,299,153,146,0,13,71,45,97,71,2,0,171,106,16,2,0,4,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010305,AMAZONAS,BONGARA,CHURUJA,364,192,172,0,24,70,46,120,77,27,0,184,132,11,2,0,35,0
