ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010306,AMAZONAS,BONGARA,FLORIDA,"3,272","1,742","1,530",0,295,796,499,968,633,81,0,"1,761","1,107",78,6,0,320,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010307,AMAZONAS,BONGARA,RECTA,354,184,170,0,21,86,58,109,72,8,0,211,121,10,2,0,10,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010308,AMAZONAS,BONGARA,SAN CARLOS,350,171,179,0,19,57,38,124,97,15,0,209,105,18,1,0,17,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010309,AMAZONAS,BONGARA,SHIPASBAMBA,996,570,426,0,90,251,142,285,208,20,0,594,306,15,2,0,79,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010310,AMAZONAS,BONGARA,VALERA,651,365,286,0,56,131,79,198,161,26,0,456,151,13,0,0,31,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010311,AMAZONAS,BONGARA,YAMBRASBAMBA,"3,349","1,859","1,490",0,341,957,566,907,548,30,0,"1,831","1,111",45,3,0,359,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010312,AMAZONAS,BONGARA,JAZAN,"4,975","2,572","2,403",0,423,"1,167",652,"1,495","1,068",170,0,"2,255","2,107",297,61,0,255,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010401,AMAZONAS,LUYA,LAMUD,"1,433",654,779,0,86,261,159,450,385,92,0,534,677,112,19,0,91,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010402,AMAZONAS,LUYA,CAMPORREDONDO,"3,006","1,720","1,286",0,209,713,494,935,590,65,0,"1,451","1,160",85,2,0,308,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010403,AMAZONAS,LUYA,COCABAMBA,"1,145",638,507,0,99,334,180,319,202,11,0,811,177,8,0,0,149,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010404,AMAZONAS,LUYA,COLCAMAR,"1,381",729,652,0,119,341,166,394,344,17,0,812,413,21,0,0,135,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010405,AMAZONAS,LUYA,CONILA,"1,173",626,547,0,89,285,157,338,280,24,0,688,370,16,3,0,96,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010406,AMAZONAS,LUYA,INGUILPATA,467,244,223,0,28,91,70,121,135,22,0,269,172,12,1,0,13,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010407,AMAZONAS,LUYA,LONGUITA,599,329,270,0,52,167,94,157,122,7,0,319,221,19,1,0,39,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010408,AMAZONAS,LUYA,LONYA CHICO,702,368,334,0,54,154,95,195,178,26,0,406,241,13,3,0,39,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010409,AMAZONAS,LUYA,LUYA,"2,351","1,145","1,206",0,201,548,296,691,528,87,0,"1,142",893,134,12,0,170,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010410,AMAZONAS,LUYA,LUYA VIEJO,289,139,150,0,29,81,35,79,58,7,0,163,88,2,0,0,36,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010411,AMAZONAS,LUYA,MARIA,579,321,258,0,57,169,78,157,108,10,0,315,235,6,0,0,23,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010412,AMAZONAS,LUYA,OCALLI,"1,917","1,109",808,0,146,411,282,573,457,48,0,"1,115",632,50,2,0,118,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010413,AMAZONAS,LUYA,OCUMAL,"2,020","1,187",833,0,148,543,328,532,443,26,0,"1,245",619,27,0,0,129,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010414,AMAZONAS,LUYA,PISUQUIA,"2,543","1,443","1,100",0,236,694,404,740,451,18,0,"1,551",716,24,1,0,251,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010415,AMAZONAS,LUYA,SAN CRISTOBAL,454,226,228,0,49,102,43,133,109,18,0,243,142,9,0,0,60,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010416,AMAZONAS,LUYA,SAN FRANCISCO DE YESO,496,254,242,0,27,95,79,161,116,18,0,312,111,15,2,0,56,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010417,AMAZONAS,LUYA,SAN JERONIMO,625,328,297,0,31,139,86,185,159,25,0,389,164,7,0,0,65,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010418,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,457,232,225,0,44,102,49,129,109,24,0,326,94,6,1,0,30,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010419,AMAZONAS,LUYA,SANTA CATALINA,876,474,402,0,101,271,106,238,153,7,0,592,213,1,1,0,69,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010420,AMAZONAS,LUYA,SANTO TOMAS,"2,164","1,136","1,028",0,171,500,258,615,548,72,0,"1,288",701,27,8,0,140,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010421,AMAZONAS,LUYA,TINGO,857,463,394,0,72,177,113,260,201,34,0,427,315,31,8,0,76,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010422,AMAZONAS,LUYA,TRITA,802,402,400,0,74,218,124,203,163,20,0,426,300,5,0,0,71,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010423,AMAZONAS,LUYA,PROVIDENCIA,756,439,317,0,72,182,125,209,164,4,0,421,256,18,1,0,60,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010501,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,"3,157","1,625","1,532",0,224,636,378,983,789,147,0,"1,358","1,379",260,40,0,120,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010502,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,573,330,243,0,56,142,73,170,111,21,0,372,174,10,4,0,13,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010503,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,"1,079",630,449,0,105,304,170,296,180,24,0,767,232,15,1,0,64,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010504,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,"2,226","1,218","1,008",0,148,429,252,711,617,69,0,"1,304",736,89,5,0,92,2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010505,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,"1,227",703,524,0,89,266,166,359,313,34,0,790,382,30,6,0,19,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010506,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,"1,164",631,533,0,95,252,151,324,291,51,0,703,396,30,2,0,33,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010507,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,706,404,302,1,52,178,107,211,143,14,0,456,215,8,3,0,24,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,"1,275",685,590,0,93,292,157,367,311,55,0,682,481,34,5,0,73,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010509,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,"3,889","2,255","1,634",0,329,"1,110",706,"1,123",581,40,0,"2,493","1,095",47,3,0,251,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010510,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,467,256,211,0,29,108,66,131,114,19,0,338,92,5,0,0,32,2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010511,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,436,240,196,0,33,86,73,126,97,21,0,273,145,13,0,0,5,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010512,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,756,459,297,0,66,239,135,209,106,1,0,487,191,3,0,0,75,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010601,AMAZONAS,CONDORCANQUI,NIEVA,"10,592","6,036","4,556",0,990,"3,432","1,927","2,738","1,465",40,0,"5,734","3,596",149,12,0,"1,101",0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010602,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,"5,508","2,976","2,532",0,528,"1,867","1,020","1,459",627,7,0,"2,637","2,218",45,2,0,606,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010603,AMAZONAS,CONDORCANQUI,EL CENEPA,"5,403","2,945","2,458",0,541,"1,718",963,"1,293",864,24,0,"2,826","1,727",34,1,0,815,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,"30,646","16,605","14,041",0,"2,641","8,188","4,939","8,566","5,760",552,0,"12,605","13,825","1,434",237,0,"2,545",40
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010702,AMAZONAS,UTCUBAMBA,CAJARURO,"15,629","8,938","6,691",0,"1,276","4,439","2,577","4,271","2,826",240,0,"7,781","5,754",235,26,0,"1,833",10
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010703,AMAZONAS,UTCUBAMBA,CUMBA,"5,036","2,765","2,271",0,418,"1,372",788,"1,439",936,83,0,"2,796","1,619",81,14,1,525,4
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,"3,264","1,876","1,388",0,297,943,512,904,571,37,0,"1,488","1,316",82,72,0,306,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010705,AMAZONAS,UTCUBAMBA,JAMALCA,"4,026","2,230","1,796",0,332,"1,097",650,"1,098",772,77,0,"2,137","1,317",71,8,0,493,6
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,"5,036","2,875","2,161",0,390,"1,299",840,"1,454",977,76,0,"2,498","1,913",125,20,0,480,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,010707,AMAZONAS,UTCUBAMBA,YAMON,"2,023","1,137",886,0,142,545,329,602,380,25,0,905,801,47,7,0,263,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020101,ANCASH,HUARAZ,HUARAZ,"40,295","20,081","20,214",0,"3,053","9,874","6,488","10,854","8,587","1,439",0,"6,236","23,279","7,208",380,5,"3,187",21
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020102,ANCASH,HUARAZ,INDEPENDENCIA,"42,193","20,857","21,336",0,"3,231","10,515","6,401","11,626","9,013","1,407",0,"7,854","23,722","5,961",299,7,"4,350",27
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020103,ANCASH,HUARAZ,COCHABAMBA,"1,385",752,633,0,105,308,182,380,365,45,0,660,450,32,3,0,240,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020104,ANCASH,HUARAZ,COLCABAMBA,393,205,188,0,14,101,55,84,112,27,0,148,193,28,2,0,22,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020105,ANCASH,HUARAZ,HUANCHAY,"1,747",954,793,0,121,397,228,439,450,112,0,697,854,47,2,0,147,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020106,ANCASH,HUARAZ,JANGAS,"3,450","1,704","1,746",0,293,897,532,871,761,96,0,"1,112","1,457",97,6,0,778,3
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020107,ANCASH,HUARAZ,LA LIBERTAD,949,459,490,0,85,226,122,254,212,50,0,442,357,31,1,0,118,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020108,ANCASH,HUARAZ,OLLEROS,"2,177","1,072","1,105",0,159,474,271,549,610,114,0,666,"1,038",106,8,0,359,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020109,ANCASH,HUARAZ,PAMPAS,964,516,448,0,47,175,103,264,286,89,0,342,478,51,4,0,89,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020110,ANCASH,HUARAZ,PARIACOTO,"2,944","1,547","1,397",0,247,776,411,753,634,123,0,"1,060","1,119",95,5,0,665,2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020111,ANCASH,HUARAZ,PIRA,"3,018","1,521","1,497",0,222,765,457,806,669,99,0,"1,125","1,241",74,2,0,576,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020112,ANCASH,HUARAZ,TARICA,"4,033","2,017","2,016",0,381,"1,146",587,"1,054",759,106,0,"1,171","1,762",193,14,0,893,4
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020201,ANCASH,AIJA,AIJA,"1,612",810,802,0,86,341,216,438,421,110,0,488,857,188,7,0,72,4
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020203,ANCASH,AIJA,CORIS,"1,233",651,582,0,100,266,151,335,308,73,0,569,524,48,1,0,91,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020205,ANCASH,AIJA,HUACLLAN,397,218,179,0,33,104,43,98,91,28,0,123,228,26,3,0,17,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020206,ANCASH,AIJA,LA MERCED,"1,466",749,717,0,116,339,205,376,364,66,0,570,753,54,6,0,83,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020208,ANCASH,AIJA,SUCCHA,689,375,314,0,48,140,93,159,198,51,0,287,343,33,3,0,23,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020301,ANCASH,BOLOGNESI,CHIQUIAN,"3,200","1,603","1,597",0,202,734,374,852,820,218,0,"1,057","1,734",294,17,0,98,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020302,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,277,140,137,0,12,64,43,69,70,19,0,52,179,37,6,0,3,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020304,ANCASH,BOLOGNESI,AQUIA,"1,561",823,738,0,124,350,192,419,387,89,0,732,688,46,3,0,92,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020305,ANCASH,BOLOGNESI,CAJACAY,"1,071",552,519,0,75,245,177,290,248,36,0,362,609,36,5,0,59,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020310,ANCASH,BOLOGNESI,HUAYLLACAYAN,769,443,326,0,56,151,98,209,223,32,0,367,324,14,0,0,64,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020311,ANCASH,BOLOGNESI,HUASTA,"1,049",583,466,0,80,199,174,278,259,59,0,480,500,46,3,0,20,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020313,ANCASH,BOLOGNESI,MANGAS,519,256,263,0,35,102,55,130,161,36,0,159,259,32,3,0,66,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020315,ANCASH,BOLOGNESI,PACLLON,716,365,351,0,43,141,96,221,185,30,0,243,393,54,4,0,22,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020317,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,270,140,130,0,18,64,31,59,78,20,0,103,147,12,1,0,7,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020320,ANCASH,BOLOGNESI,TICLLOS,586,293,293,0,42,136,95,134,150,29,0,200,314,28,1,0,43,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020321,ANCASH,BOLOGNESI,ANTONIO RAIMONDI,"1,011",548,463,0,55,215,132,257,301,51,0,386,456,65,8,0,96,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020322,ANCASH,BOLOGNESI,CANIS,468,237,231,0,44,110,62,126,101,25,0,132,287,28,2,0,19,2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020323,ANCASH,BOLOGNESI,COLQUIOC,"1,530",820,710,0,138,369,214,411,342,56,0,465,909,70,10,0,76,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020324,ANCASH,BOLOGNESI,LA PRIMAVERA,355,188,167,0,25,58,42,93,110,27,0,113,196,16,1,0,29,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020325,ANCASH,BOLOGNESI,HUALLANCA,"3,616","2,023","1,593",0,340,"1,012",559,906,712,87,0,"1,358","1,862",176,14,0,206,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020401,ANCASH,CARHUAZ,CARHUAZ,"9,704","4,686","5,018",0,852,"2,338","1,332","2,566","2,147",469,0,"2,962","3,613",603,44,0,"2,482",4
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020402,ANCASH,CARHUAZ,ACOPAMPA,"1,698",841,857,0,126,391,243,464,372,102,0,522,747,100,9,0,320,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020403,ANCASH,CARHUAZ,AMASHCA,"1,682",814,868,0,140,377,235,472,401,57,0,606,547,28,1,0,500,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020404,ANCASH,CARHUAZ,ANTA,"1,762",849,913,0,151,462,243,433,386,87,0,665,645,57,7,0,388,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020405,ANCASH,CARHUAZ,ATAQUERO,"1,416",682,734,0,130,358,164,384,310,70,0,519,386,10,4,0,497,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020406,ANCASH,CARHUAZ,MARCARA,"6,404","3,036","3,368",0,642,"1,700",926,"1,675","1,301",160,0,"2,163","2,093",182,16,0,"1,950",2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020407,ANCASH,CARHUAZ,PARIAHUANCA,"1,127",552,575,0,96,258,156,304,256,57,0,345,507,60,5,0,210,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020408,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,"1,653",786,867,0,160,440,237,439,341,36,0,656,477,18,2,1,499,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020409,ANCASH,CARHUAZ,SHILLA,"3,146","1,456","1,690",0,298,802,438,831,676,101,0,899,795,16,4,0,"1,432",0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020410,ANCASH,CARHUAZ,TINCO,"1,814",901,913,0,173,417,273,494,366,91,0,450,953,101,10,0,300,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020411,ANCASH,CARHUAZ,YUNGAR,"2,081","1,050","1,031",0,191,523,304,558,418,87,0,633,891,70,7,0,480,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020501,ANCASH,CASMA,CASMA,"20,143","10,218","9,925",0,"1,620","4,944","2,878","5,675","4,328",698,0,"4,965","12,401","1,243",161,4,"1,369",12
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020502,ANCASH,CASMA,BUENA VISTA ALTA,"2,555","1,413","1,142",0,239,598,381,710,538,89,0,904,"1,135",40,8,0,468,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020503,ANCASH,CASMA,COMANDANTE NOEL,"1,558",859,699,0,89,371,242,466,341,49,0,430,883,38,1,0,206,2
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020505,ANCASH,CASMA,YAUTAN,"4,750","2,526","2,224",0,388,"1,173",653,"1,311","1,060",165,0,"1,532","2,256",102,18,0,842,1
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020601,ANCASH,CORONGO,CORONGO,"1,120",583,537,0,65,218,136,313,319,69,0,489,401,66,7,0,157,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020602,ANCASH,CORONGO,ACO,346,188,158,0,32,67,44,99,90,14,0,153,142,11,2,0,38,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020603,ANCASH,CORONGO,BAMBAS,333,181,152,0,22,79,50,74,89,19,0,196,107,9,1,0,20,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020604,ANCASH,CORONGO,CUSCA,"1,392",711,681,0,135,377,193,421,248,18,0,631,592,9,3,0,157,0
ELECCIONES REGIONALES Y MUNICIPALES 2010,2010,020605,ANCASH,CORONGO,LA PAMPA,774,435,339,0,58,163,76,257,190,30,0,257,414,36,2,0,65,1
