ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED
Proceso electoral,Tipo de elección,Año,Ubigeo,Departamento,Provincia,Distrito,Organización politica,Tipo de Organización politica,Votos obtenidos,Total Electores,Votos emitidos
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"7,921","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALIANZA ELECTORAL,"5,382","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"2,096","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,"2,010","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"1,898","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"1,276","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"1,131","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,MOVIMIENTO REGIONAL,"1,027","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,UNION POR EL PERU,PARTIDO POLÍTICO,257,"31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,VOTOS EN BLANCO,,"1,719","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010100,AMAZONAS,CHACHAPOYAS,,VOTOS NULOS,,"2,046","31,756","26,763"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALIANZA ELECTORAL,"8,081","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"4,677","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,ACCION POPULAR,PARTIDO POLÍTICO,"4,643","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"4,043","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"3,280","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,MOVIMIENTO REGIONAL,"1,831","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"1,429","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,"1,339","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"1,000","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,DESARROLLO SOCIAL AMAZONENSE,MOVIMIENTO REGIONAL,802,"46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,VOTOS EN BLANCO,,"2,801","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010200,AMAZONAS,BAGUA,,VOTOS NULOS,,"2,870","46,315","36,796"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"3,387","16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALIANZA ELECTORAL,"2,544","16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"1,553","16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"1,305","16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,"1,232","16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,MOVIMIENTO REGIONAL,545,"16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,439,"16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,227,"16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,VOTOS EN BLANCO,,"1,378","16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010300,AMAZONAS,BONGARA,,VOTOS NULOS,,"1,030","16,572","13,640"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010400,AMAZONAS,LUYA,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"6,808","27,092","22,779"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010400,AMAZONAS,LUYA,,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALIANZA ELECTORAL,"5,135","27,092","22,779"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010400,AMAZONAS,LUYA,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"3,427","27,092","22,779"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010400,AMAZONAS,LUYA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"2,791","27,092","22,779"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010400,AMAZONAS,LUYA,,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,MOVIMIENTO REGIONAL,565,"27,092","22,779"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010400,AMAZONAS,LUYA,,VOTOS EN BLANCO,,"3,057","27,092","22,779"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010400,AMAZONAS,LUYA,,VOTOS NULOS,,996,"27,092","22,779"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010500,AMAZONAS,RODRIGUEZ DE MENDOZA,,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALIANZA ELECTORAL,"4,170","16,955","14,035"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010500,AMAZONAS,RODRIGUEZ DE MENDOZA,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"2,635","16,955","14,035"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010500,AMAZONAS,RODRIGUEZ DE MENDOZA,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"1,501","16,955","14,035"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010500,AMAZONAS,RODRIGUEZ DE MENDOZA,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"1,208","16,955","14,035"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010500,AMAZONAS,RODRIGUEZ DE MENDOZA,,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,MOVIMIENTO REGIONAL,"1,110","16,955","14,035"
ELECCIONES REGIONALES Y MUNICIPALES 2010,MUNICIPAL PROVINCIAL,2010,010500,AMAZONAS,RODRIGUEZ DE MENDOZA,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"1,110","16,955","14,035"
