REGION,PROVINCE,DISTRICT,CAPITAL,POVERTY_INDICATOR,POPULATION,NUMBER_OF_PROVINCES,NUMBER_OF_DISTRICTS,NUMBER_OF_VOTERS,PROVINCE_ALDERMEN,PROVINCE_COUNCILMEN,DISTRICT_ALDERMEN,DISTRICT_COUNCILMEN
Departamento,Provincia,Distrito,Capital,Indicador de pobreza,Población,N° Provincias,N° Distritos,Electores,Alcaldes provinciales,Regidores provinciales,Alcaldes distritales,Regidores distritales
PIURA,TALARA,PARIÑAS,TALARA,NO POBRE,"90,943",0,1,"71,628",0,0,0,0
PIURA,TALARA,EL ALTO,EL ALTO,NO POBRE,"7,064",0,1,"6,176",0,0,1,5
PIURA,TALARA,LA BREA,NEGRITOS,NO POBRE,"11,846",0,1,"10,200",0,0,1,5
PIURA,TALARA,LOBITOS,LOBITOS,NO POBRE,"1,685",0,1,"1,161",0,0,1,5
PIURA,TALARA,MANCORA,MANCORA,NO POBRE,"12,976",0,1,"7,515",0,0,1,5
PIURA,TALARA,LOS ORGANOS,LOS ORGANOS,NO POBRE,"9,453",0,1,"7,341",0,0,1,5
PIURA,SECHURA,,SECHURA,,"78,605",1,5,"50,720",1,9,5,25
PIURA,SECHURA,SECHURA,SECHURA,NO POBRE,"44,606",0,1,"26,628",0,0,0,0
PIURA,SECHURA,VICE,VICE,NO POBRE,"14,493",0,1,"10,272",0,0,1,5
PIURA,SECHURA,BERNAL,BERNAL,NO POBRE,"7,492",0,1,"4,983",0,0,1,5
PIURA,SECHURA,BELLAVISTA DE LA UNION,BELLAVISTA,NO POBRE,"4,546",0,1,"3,438",0,0,1,5
PIURA,SECHURA,CRISTO NOS VALGA,SANTO CRISTO,NO POBRE,"4,115",0,1,"2,900",0,0,1,5
PIURA,SECHURA,RINCONADA-LLICUAR,DOS PUEBLOS,NO POBRE,"3,353",0,1,"2,499",0,0,1,5
PUNO,,,PUNO,,"1,456,989",13,97,"901,482",13,123,97,497
PUNO,PUNO,,PUNO,,"254,346",1,14,"178,885",1,11,14,72
PUNO,PUNO,PUNO,PUNO,NO POBRE,"146,510",0,1,"103,124",0,0,0,0
PUNO,PUNO,ACORA,ACORA,POBRE NO EXTREMO,"28,037",0,1,"19,065",0,0,1,7
PUNO,PUNO,ATUNCOLLA,ATUNCOLLA,POBRE NO EXTREMO,"5,758",0,1,"3,923",0,0,1,5
PUNO,PUNO,CAPACHICA,CAPACHICA,POBRE NO EXTREMO,"11,321",0,1,"8,188",0,0,1,5
PUNO,PUNO,COATA,COATA,POBRE EXTREMO,"8,261",0,1,"5,565",0,0,1,5
PUNO,PUNO,CHUCUITO,CHUCUITO,POBRE NO EXTREMO,"6,604",0,1,"6,914",0,0,1,5
PUNO,PUNO,HUATA,HUATA,POBRE NO EXTREMO,"11,149",0,1,"2,710",0,0,1,5
PUNO,PUNO,MAÑAZO,MAÑAZO,POBRE NO EXTREMO,"5,338",0,1,"4,164",0,0,1,5
PUNO,PUNO,PAUCARCOLLA,PAUCARCOLLA,POBRE NO EXTREMO,"5,237",0,1,"4,008",0,0,1,5
PUNO,PUNO,PICHACANI,LARAQUERI,POBRE NO EXTREMO,"5,208",0,1,"5,255",0,0,1,5
PUNO,PUNO,SAN ANTONIO,SAN ANTONIO DE ESQUILACHE,POBRE EXTREMO,"4,079",0,1,"1,107",0,0,1,5
PUNO,PUNO,TIQUILLACA,TIQUILLACA,POBRE EXTREMO,"1,666",0,1,"2,260",0,0,1,5
PUNO,PUNO,VILQUE,VILQUE,POBRE NO EXTREMO,"3,133",0,1,"2,369",0,0,1,5
PUNO,PUNO,PLATERIA,PLATERIA,POBRE NO EXTREMO,"7,528",0,1,"6,202",0,0,1,5
PUNO,PUNO,AMANTANI,AMANTANI,POBRE EXTREMO,"4,517",0,1,"4,031",0,0,1,5
PUNO,AZANGARO,,AZANGARO,,"139,189",1,14,"97,989",1,11,14,70
PUNO,AZANGARO,AZANGARO,AZANGARO,POBRE NO EXTREMO,"28,692",0,1,"24,356",0,0,0,0
PUNO,AZANGARO,ACHAYA,ACHAYA,POBRE EXTREMO,"4,622",0,1,"3,420",0,0,1,5
PUNO,AZANGARO,ARAPA,ARAPA,POBRE NO EXTREMO,"7,706",0,1,"6,556",0,0,1,5
PUNO,AZANGARO,ASILLO,ASILLO,POBRE EXTREMO,"17,684",0,1,"12,358",0,0,1,5
PUNO,AZANGARO,CAMINACA,CAMINACA,POBRE EXTREMO,"3,506",0,1,"4,098",0,0,1,5
PUNO,AZANGARO,CHUPA,CHUPA,POBRE NO EXTREMO,"13,096",0,1,"6,344",0,0,1,5
PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,ESTACION DE PUCARA,POBRE NO EXTREMO,"5,582",0,1,"3,599",0,0,1,5
PUNO,AZANGARO,MUÑANI,MUÑANI,POBRE EXTREMO,"8,336",0,1,"5,010",0,0,1,5
PUNO,AZANGARO,POTONI,POTONI,POBRE EXTREMO,"6,559",0,1,"2,789",0,0,1,5
PUNO,AZANGARO,SAMAN,SAMAN,POBRE EXTREMO,"14,479",0,1,"10,232",0,0,1,5
PUNO,AZANGARO,SAN ANTON,SAN ANTON,POBRE EXTREMO,"10,140",0,1,"5,845",0,0,1,5
PUNO,AZANGARO,SAN JOSE,SAN JOSE,POBRE EXTREMO,"5,802",0,1,"3,971",0,0,1,5
PUNO,AZANGARO,SAN JUAN DE SALINAS,SAN JUAN DE SALINAS,POBRE NO EXTREMO,"4,418",0,1,"2,987",0,0,1,5
PUNO,AZANGARO,SANTIAGO DE PUPUJA,SANTIAGO DE PUPUJA,POBRE NO EXTREMO,"5,437",0,1,"4,199",0,0,1,5
PUNO,AZANGARO,TIRAPATA,TIRAPATA,POBRE EXTREMO,"3,130",0,1,"2,225",0,0,1,5
PUNO,CARABAYA,,MACUSANI,,"99,766",1,9,"42,529",1,9,9,45
PUNO,CARABAYA,MACUSANI,MACUSANI,POBRE EXTREMO,"13,311",0,1,"9,088",0,0,0,0
PUNO,CARABAYA,AJOYANI,AJOYANI,POBRE EXTREMO,"2,139",0,1,"1,674",0,0,1,5
PUNO,CARABAYA,AYAPATA,AYAPATA,POBRE EXTREMO,"12,643",0,1,"4,217",0,0,1,5
PUNO,CARABAYA,COASA,COASA,POBRE EXTREMO,"16,752",0,1,"4,649",0,0,1,5
PUNO,CARABAYA,CORANI,CORANI,POBRE EXTREMO,"4,038",0,1,"2,858",0,0,1,5
PUNO,CARABAYA,CRUCERO,CRUCERO,POBRE EXTREMO,"9,504",0,1,"5,893",0,0,1,5
