ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"17,085","7,985","9,100",0,"1,392","4,010","2,347","4,791","3,810",735,1,"3,641","10,070","2,452",246,13,662,69
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,298,140,158,0,17,42,50,95,80,14,0,125,130,25,5,0,13,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010103,AMAZONAS,CHACHAPOYAS,BALSAS,960,544,416,0,73,227,134,278,219,29,0,498,328,20,5,0,109,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010104,AMAZONAS,CHACHAPOYAS,CHETO,546,279,267,0,43,91,75,171,128,38,0,322,163,8,0,0,53,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,755,404,351,0,60,186,105,202,171,31,0,458,222,6,3,0,66,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,"1,355",718,637,0,122,259,180,371,329,94,0,677,536,55,3,0,84,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010107,AMAZONAS,CHACHAPOYAS,GRANADA,406,208,198,0,31,101,69,115,67,23,0,203,157,6,0,0,40,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,398,183,215,0,25,62,57,106,116,32,0,177,168,14,1,0,38,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,"3,255","1,619","1,636",0,321,841,472,847,661,113,0,"1,748","1,022",29,1,1,454,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,"2,468","1,260","1,208",0,155,501,310,705,638,159,0,"1,129",953,120,21,1,244,14
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,866,432,434,0,62,198,128,242,186,50,0,482,286,6,1,2,89,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,665,314,351,0,63,119,72,179,166,66,0,275,302,29,3,1,55,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,838,411,427,0,64,125,101,236,259,53,0,401,342,27,2,0,66,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,"1,558",762,796,0,121,286,221,519,336,75,0,747,582,58,7,0,164,8
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,604,312,292,0,39,127,67,177,152,42,0,211,338,31,2,0,22,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,339,168,171,0,22,71,48,96,84,18,0,164,139,3,1,0,32,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,888,436,452,0,90,204,119,237,194,44,0,467,326,16,4,0,75,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,336,164,172,0,14,62,42,92,107,19,0,137,146,24,7,0,22,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,491,251,240,0,27,120,67,130,124,23,0,303,128,14,0,0,46,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,"1,253",644,609,0,86,285,155,336,303,88,0,617,481,25,4,0,126,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010121,AMAZONAS,CHACHAPOYAS,SONCHE,302,155,147,0,22,64,43,97,62,14,0,172,98,5,0,0,27,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010201,AMAZONAS,BAGUA,LA PECA,"8,814","4,863","3,951",0,529,"1,955","1,254","2,509","2,066",501,0,"3,132","4,431",345,53,4,849,19
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010202,AMAZONAS,BAGUA,ARAMANGO,"7,919","4,392","3,527",0,762,"1,951","1,097","2,327","1,524",258,0,"3,920","3,136",91,10,0,762,9
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010203,AMAZONAS,BAGUA,COPALLIN,"4,124","2,200","1,924",0,261,927,631,"1,155",987,163,0,"1,803","1,750",70,12,0,489,11
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010204,AMAZONAS,BAGUA,EL PARCO,"1,368",748,620,0,93,300,228,380,309,58,0,498,697,43,6,0,124,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010205,AMAZONAS,BAGUA,BAGUA,"14,564","6,996","7,568",0,"1,461","3,336","1,860","4,265","3,226",416,0,"3,415","8,741","1,454",149,2,803,49
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010206,AMAZONAS,BAGUA,IMAZA,"15,107","8,119","6,988",0,"1,706","4,419","2,238","4,085","2,430",229,0,"6,337","6,771",154,9,0,"1,836",15
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010301,AMAZONAS,BONGARA,JUMBILLA,777,357,420,0,58,135,80,205,248,51,0,339,334,50,8,0,46,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010302,AMAZONAS,BONGARA,COROSHA,624,321,303,0,66,165,93,174,107,19,0,357,195,15,3,0,54,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010303,AMAZONAS,BONGARA,CUISPES,644,325,319,0,41,139,94,201,148,21,0,371,207,10,1,0,55,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010304,AMAZONAS,BONGARA,CHISQUILLA,396,219,177,0,22,100,52,112,101,9,0,192,176,12,3,0,13,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010305,AMAZONAS,BONGARA,CHURUJA,369,200,169,0,21,64,38,117,93,36,0,163,145,13,4,0,44,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010306,AMAZONAS,BONGARA,FLORIDA,"3,913","1,983","1,930",0,350,903,513,"1,186",807,154,0,"1,901","1,464",82,11,0,455,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010307,AMAZONAS,BONGARA,RECTA,408,222,186,0,29,94,55,124,86,20,0,201,173,17,5,0,12,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010308,AMAZONAS,BONGARA,SAN CARLOS,425,206,219,0,25,72,47,126,118,37,0,224,150,18,5,0,28,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010309,AMAZONAS,BONGARA,SHIPASBAMBA,"1,182",648,534,0,87,290,177,323,271,34,0,648,417,20,2,0,95,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010310,AMAZONAS,BONGARA,VALERA,880,464,416,0,56,187,113,232,234,58,0,533,273,16,1,0,57,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010311,AMAZONAS,BONGARA,YAMBRASBAMBA,"3,998","2,109","1,889",0,397,"1,094",588,"1,071",741,107,0,"1,994","1,458",43,3,0,500,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010312,AMAZONAS,BONGARA,JAZAN,"5,371","2,697","2,674",0,494,"1,155",634,"1,520","1,288",280,0,"2,190","2,487",289,57,1,347,4
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010401,AMAZONAS,LUYA,LAMUD,"1,605",722,883,0,110,247,153,410,491,194,0,530,757,112,22,2,182,9
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010402,AMAZONAS,LUYA,CAMPORREDONDO,"3,773","2,000","1,773",0,333,837,547,"1,075",829,152,0,"1,638","1,513",87,3,0,532,6
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010403,AMAZONAS,LUYA,COCABAMBA,"1,321",722,599,0,131,329,203,341,278,39,0,867,263,9,0,0,182,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010404,AMAZONAS,LUYA,COLCAMAR,"1,628",805,823,0,161,314,193,417,445,98,0,840,529,23,2,0,234,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010405,AMAZONAS,LUYA,CONILA,"1,400",717,683,0,118,288,186,361,347,100,0,742,470,13,4,0,171,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010406,AMAZONAS,LUYA,INGUILPATA,522,269,253,0,28,92,62,127,163,50,0,259,206,17,1,0,39,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010407,AMAZONAS,LUYA,LONGUITA,736,380,356,0,81,176,107,178,157,37,0,366,273,24,3,0,70,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010408,AMAZONAS,LUYA,LONYA CHICO,788,400,388,0,69,138,93,220,203,65,0,414,292,13,5,0,64,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010409,AMAZONAS,LUYA,LUYA,"2,691","1,273","1,418",0,246,559,291,709,666,220,0,"1,172","1,063",133,11,1,311,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010410,AMAZONAS,LUYA,LUYA VIEJO,315,152,163,0,30,69,44,86,69,17,0,157,109,3,0,0,46,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010411,AMAZONAS,LUYA,MARIA,701,366,335,0,63,195,81,172,148,42,1,349,292,7,0,0,52,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010412,AMAZONAS,LUYA,OCALLI,"2,244","1,251",993,0,191,461,282,610,581,119,0,"1,191",792,48,1,0,212,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010413,AMAZONAS,LUYA,OCUMAL,"2,310","1,297","1,013",0,203,490,334,611,573,99,0,"1,305",751,28,0,0,226,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010414,AMAZONAS,LUYA,PISUQUIA,"3,252","1,814","1,438",0,371,777,434,863,678,129,0,"1,709","1,056",27,2,0,458,12
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010415,AMAZONAS,LUYA,SAN CRISTOBAL,503,236,267,0,40,91,66,114,137,55,0,247,167,7,1,0,81,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010416,AMAZONAS,LUYA,SAN FRANCISCO DE YESO,632,333,299,0,44,124,77,184,160,43,0,349,185,16,3,0,79,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010417,AMAZONAS,LUYA,SAN JERONIMO,658,339,319,0,35,119,84,172,187,61,0,402,165,6,1,0,84,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010418,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,467,238,229,0,32,103,49,121,119,43,0,313,111,8,1,0,34,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010419,AMAZONAS,LUYA,SANTA CATALINA,"1,124",588,536,0,122,325,142,272,219,44,0,671,325,3,0,0,125,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010420,AMAZONAS,LUYA,SANTO TOMAS,"2,405","1,223","1,182",0,217,467,272,598,657,194,0,"1,315",805,31,6,0,248,6
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010421,AMAZONAS,LUYA,TINGO,923,488,435,0,92,199,112,250,217,53,0,444,373,21,7,0,78,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010422,AMAZONAS,LUYA,TRITA,891,443,448,0,86,196,126,232,201,50,0,449,337,8,2,0,95,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010423,AMAZONAS,LUYA,PROVIDENCIA,927,516,411,0,74,211,125,262,208,47,0,464,326,17,1,0,119,4
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010501,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,"3,493","1,797","1,696",0,285,639,415,978,938,238,0,"1,391","1,635",265,36,1,165,15
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010502,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,609,336,273,0,40,160,74,173,130,32,0,339,232,11,3,0,24,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010503,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,"1,500",852,648,1,165,407,205,401,267,54,0,998,377,21,2,0,102,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010504,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,"2,407","1,261","1,146",0,140,390,247,634,790,206,0,"1,294",833,87,9,0,184,9
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010505,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,"1,398",767,631,0,111,274,180,385,372,76,0,844,477,32,6,1,38,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010506,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,"1,410",742,668,0,84,289,171,403,358,105,0,754,533,38,2,0,83,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010507,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,679,371,308,0,47,140,95,209,153,35,0,391,245,10,4,0,29,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,"1,546",807,739,0,86,327,205,409,424,95,0,763,602,40,8,0,133,8
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010509,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,"5,232","2,931","2,301",0,529,"1,327",843,"1,503",911,119,0,"3,064","1,703",53,2,0,410,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010510,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,515,268,247,0,28,88,69,134,148,48,0,339,110,6,1,0,59,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010511,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,476,267,209,0,37,100,58,143,105,33,0,272,185,8,0,0,11,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010512,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,"1,471",824,647,0,138,440,243,440,203,7,0,915,391,2,1,0,162,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010601,AMAZONAS,CONDORCANQUI,NIEVA,"13,412","7,451","5,961",0,"1,445","4,332","2,034","3,477","2,020",104,0,"6,790","5,165",163,15,0,"1,279",0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010602,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,"6,806","3,589","3,217",0,894,"2,152","1,061","1,817",863,19,0,"2,945","3,190",41,2,0,628,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010603,AMAZONAS,CONDORCANQUI,EL CENEPA,"6,666","3,568","3,098",0,848,"2,084","1,002","1,659","1,039",34,0,"3,348","2,417",39,1,0,861,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,"34,723","17,886","16,837",1,"3,184","8,465","5,022","9,720","7,230","1,101",0,"13,221","16,441","1,420",248,3,"3,390",127
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010702,AMAZONAS,UTCUBAMBA,CAJARURO,"18,049","9,729","8,320",0,"1,656","4,430","2,699","4,998","3,669",597,0,"8,277","7,144",237,33,0,"2,358",31
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010703,AMAZONAS,UTCUBAMBA,CUMBA,"5,923","3,150","2,773",0,561,"1,485",847,"1,575","1,231",224,0,"3,021","2,099",72,14,3,714,12
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,"3,728","2,066","1,662",0,329,913,560,"1,039",787,100,0,"1,567","1,635",83,59,1,383,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010705,AMAZONAS,UTCUBAMBA,JAMALCA,"4,904","2,615","2,289",0,480,"1,183",719,"1,348",994,180,0,"2,365","1,849",80,13,0,597,10
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,"5,904","3,214","2,690",0,540,"1,365",872,"1,705","1,246",176,0,"2,687","2,427",115,20,0,655,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,010707,AMAZONAS,UTCUBAMBA,YAMON,"2,640","1,457","1,183",0,271,677,375,722,523,72,1,997,"1,239",76,5,0,322,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020101,ANCASH,HUARAZ,HUARAZ,"44,333","22,190","22,143",0,"3,337","10,099","6,535","12,416","9,794","2,152",1,"6,233","27,346","6,984",405,12,"3,352",96
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020102,ANCASH,HUARAZ,INDEPENDENCIA,"46,013","22,636","23,377",0,"3,419","10,246","6,583","13,153","10,414","2,198",1,"7,730","27,421","5,971",327,22,"4,541",81
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020103,ANCASH,HUARAZ,COCHABAMBA,"1,542",819,723,0,138,316,177,397,421,93,0,667,561,37,5,0,272,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020104,ANCASH,HUARAZ,COLCABAMBA,397,191,206,0,27,77,46,86,126,35,1,144,197,29,0,0,26,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020105,ANCASH,HUARAZ,HUANCHAY,"1,892","1,007",885,0,171,370,216,452,494,189,0,701,965,49,2,0,175,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020106,ANCASH,HUARAZ,JANGAS,"3,784","1,869","1,915",0,293,928,504,"1,038",869,152,0,"1,124","1,765",91,6,0,798,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020107,ANCASH,HUARAZ,LA LIBERTAD,"1,083",522,561,0,94,269,131,272,244,73,0,453,475,36,1,0,118,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020108,ANCASH,HUARAZ,OLLEROS,"2,725","1,344","1,381",0,197,548,318,703,726,233,0,692,"1,417",130,12,0,474,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020109,ANCASH,HUARAZ,PAMPAS GRANDE,"1,120",607,513,0,70,182,125,293,316,134,0,353,603,59,10,1,94,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020110,ANCASH,HUARAZ,PARIACOTO,"3,578","1,849","1,729",0,369,862,476,895,760,216,0,"1,197","1,538",99,5,1,738,6
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020111,ANCASH,HUARAZ,PIRA,"3,558","1,786","1,772",0,308,858,514,944,768,166,0,"1,195","1,684",81,2,0,596,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020112,ANCASH,HUARAZ,TARICA,"4,549","2,202","2,347",0,415,"1,167",643,"1,180",948,196,0,"1,267","2,107",186,13,1,975,9
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020201,ANCASH,AIJA,AIJA,"1,644",807,837,0,98,285,189,422,482,168,0,474,873,179,5,0,113,5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020203,ANCASH,AIJA,CORIS,"1,338",692,646,0,101,256,149,370,341,121,0,584,587,43,2,0,122,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020205,ANCASH,AIJA,HUACLLAN,431,219,212,0,38,106,54,101,96,36,0,123,267,21,3,0,17,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020206,ANCASH,AIJA,LA MERCED,"1,603",818,785,0,129,343,208,409,411,103,1,568,875,48,3,0,108,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020208,ANCASH,AIJA,SUCCHA,785,409,376,0,45,166,85,194,216,79,0,293,414,41,4,0,33,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020301,ANCASH,BOLOGNESI,CHIQUIAN,"3,110","1,507","1,603",0,241,598,347,766,827,331,0,952,"1,714",262,12,0,170,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020302,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,314,171,143,0,16,63,42,88,81,24,0,53,214,38,5,0,4,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020304,ANCASH,BOLOGNESI,AQUIA,"1,797",926,871,0,128,370,246,457,478,118,0,688,923,60,4,0,122,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020305,ANCASH,BOLOGNESI,CAJACAY,"1,371",700,671,0,136,317,196,351,305,66,0,412,840,28,7,0,84,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020310,ANCASH,BOLOGNESI,HUAYLLACAYAN,"1,068",542,526,0,87,201,107,257,308,108,0,416,494,17,1,0,140,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020311,ANCASH,BOLOGNESI,HUASTA,"1,314",706,608,0,79,229,195,365,353,93,0,526,671,60,4,0,53,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020313,ANCASH,BOLOGNESI,MANGAS,590,292,298,0,36,118,55,144,173,64,0,160,321,32,5,0,72,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020315,ANCASH,BOLOGNESI,PACLLON,850,431,419,0,68,139,93,238,245,67,0,268,483,48,1,0,50,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020317,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,267,139,128,0,14,52,34,58,84,25,0,106,139,10,1,0,11,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020320,ANCASH,BOLOGNESI,TICLLOS,553,268,285,0,33,111,62,154,151,42,0,204,282,21,2,0,44,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020321,ANCASH,BOLOGNESI,ANTONIO RAIMONDI,"1,300",640,660,0,73,246,149,317,391,124,0,427,620,73,10,0,170,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020322,ANCASH,BOLOGNESI,CANIS,418,210,208,0,12,91,50,118,107,40,0,119,254,25,1,0,19,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020323,ANCASH,BOLOGNESI,COLQUIOC,"1,830",974,856,0,145,435,229,498,432,91,0,467,"1,174",72,15,0,102,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020324,ANCASH,BOLOGNESI,LA PRIMAVERA,407,212,195,0,27,67,41,108,126,38,0,115,240,18,1,0,33,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020325,ANCASH,BOLOGNESI,HUALLANCA,"4,350","2,330","2,020",0,431,"1,121",666,"1,129",832,171,0,"1,450","2,394",179,18,0,309,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020401,ANCASH,CARHUAZ,CARHUAZ,"10,647","5,232","5,415",0,962,"2,448","1,357","2,810","2,467",603,0,"3,039","4,499",578,44,1,"2,486",20
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020402,ANCASH,CARHUAZ,ACOPAMPA,"1,889",917,972,0,141,395,257,526,430,140,0,520,917,112,10,0,330,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020403,ANCASH,CARHUAZ,AMASHCA,"1,592",749,843,0,110,339,214,428,419,82,0,521,598,23,0,1,449,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020404,ANCASH,CARHUAZ,ANTA,"1,969",940,"1,029",0,185,470,265,491,437,121,0,703,800,64,9,0,393,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020405,ANCASH,CARHUAZ,ATAQUERO,"1,568",756,812,0,139,420,190,389,329,101,0,533,562,17,3,0,453,1
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020406,ANCASH,CARHUAZ,MARCARA,"7,294","3,460","3,834",0,622,"1,828","1,042","1,940","1,572",290,0,"2,302","2,733",190,17,0,"2,052",5
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020407,ANCASH,CARHUAZ,PARIAHUANCA,"1,291",614,677,0,109,290,147,368,291,86,0,370,625,59,5,0,232,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020408,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,"1,858",872,986,0,197,456,239,463,420,83,0,681,640,16,3,1,517,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020409,ANCASH,CARHUAZ,SHILLA,"3,215","1,466","1,749",0,217,783,465,873,738,139,0,853,"1,015",20,3,0,"1,324",0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020410,ANCASH,CARHUAZ,TINCO,"2,299","1,139","1,160",0,183,533,305,654,472,152,0,567,"1,254",103,14,0,361,4
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020411,ANCASH,CARHUAZ,YUNGAR,"2,322","1,168","1,154",0,210,548,335,614,479,136,0,653,"1,094",74,10,0,491,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020501,ANCASH,CASMA,CASMA,"22,608","11,446","11,162",0,"1,826","5,265","3,100","6,333","5,154",930,1,"5,212","14,475","1,242",163,13,"1,502",77
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020502,ANCASH,CASMA,BUENA VISTA ALTA,"3,141","1,631","1,510",0,286,746,416,849,689,155,0,"1,038","1,472",45,9,0,577,7
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020503,ANCASH,CASMA,COMANDANTE NOEL,"1,801",961,840,0,113,391,233,553,432,79,0,463,"1,071",48,5,0,214,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020505,ANCASH,CASMA,YAUTAN,"5,477","2,830","2,647",0,502,"1,220",763,"1,441","1,285",266,0,"1,677","2,750",110,18,0,922,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020601,ANCASH,CORONGO,CORONGO,"1,190",606,584,0,92,187,119,323,359,110,0,484,436,61,8,0,201,2
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020602,ANCASH,CORONGO,ACO,419,217,202,0,24,94,53,106,119,23,0,171,189,12,2,0,45,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020603,ANCASH,CORONGO,BAMBAS,377,204,173,0,22,84,51,87,105,28,0,210,134,10,1,0,22,0
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020604,ANCASH,CORONGO,CUSCA,"1,819",911,908,0,177,458,254,492,383,55,0,705,867,17,4,0,226,3
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020605,ANCASH,CORONGO,LA PAMPA,937,507,430,0,58,192,115,250,261,61,0,280,500,42,3,0,112,8
ELECCIONES REGIONALES Y MUNICIPALES 2014,2014,020606,ANCASH,CORONGO,YANAC,604,333,271,0,59,146,65,147,148,39,0,235,283,22,4,0,60,4
