ELECTION_PROCESS,ELECTION_TYPE,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,POLITICAL_ORGANIZATION,POLITICAL_ORGANIZATION_TYPE,VOTES_OBTAINED,TOTAL_VOTES,VOTES_NOT_OBTAINED
Proceso electoral,Tipo de elección,Año,Ubigeo,Departamento,Provincia,Distrito,Organización politica,Tipo de Organización politica,Votos obtenidos,Total Electores,Votos emitidos
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,SENTIMIENTO AMAZONENSE REGIONAL,MOVIMIENTO REGIONAL,"53,831","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,MOVIMIENTO REGIONAL,"23,903","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,MOVIMIENTO REGIONAL,"21,091","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTO REGIONAL,"19,491","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,OBRAS POR AMAZONAS,MOVIMIENTO REGIONAL,"15,359","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,TODOS SOMOS AMAZONAS,ALIANZA ELECTORAL,"13,984","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,UNIDAD Y DEMOCRACIA DE AMAZONAS,MOVIMIENTO REGIONAL,"9,419","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"5,177","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,855,"261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,VOTOS EN BLANCO,,"15,454","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,010000,AMAZONAS,,,VOTOS NULOS,,"32,611","261,856","211,175"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,MOVIMIENTO REGIONAL ANDE - MAR,MOVIMIENTO REGIONAL,"96,006","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,MOVIMIENTO INDEPENDIENTE REGIONAL PURO ANCASH,MOVIMIENTO REGIONAL,"92,784","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO,MOVIMIENTO REGIONAL,"58,307","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,MOVIMIENTO ACCION NACIONALISTA PERUANO,MOVIMIENTO REGIONAL,"50,628","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"44,444","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,MOVIMIENTO REGIONAL EL MAICITO,MOVIMIENTO REGIONAL,"39,606","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"24,150","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,"23,040","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,UNION POR EL PERU,PARTIDO POLÍTICO,"22,252","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,SIEMPRE UNIDOS,PARTIDO POLÍTICO,"18,390","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,PARTIDO APRISTA PERUANO,PARTIDO POLÍTICO,"16,728","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,ALIANZA HORA CERO FUERZA POPULAR,ALIANZA ELECTORAL,"14,147","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,PERU POSIBLE,PARTIDO POLÍTICO,"8,727","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,RENOVACION ANCASHINA,MOVIMIENTO REGIONAL,"8,370","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,UNION NACIONALISTA ANCASHINA,MOVIMIENTO REGIONAL,"6,222","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,ACCION POPULAR,PARTIDO POLÍTICO,"5,136","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"2,906","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"1,814","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,VOTOS EN BLANCO,,"78,780","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,020000,ANCASH,,,VOTOS NULOS,,"66,346","817,621","678,783"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,MOVIMIENTO POPULAR KALLPA,MOVIMIENTO REGIONAL,"48,301","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,MOVIMIENTO INDEPENDIENTE FUERZA CAMPESINA REGIONAL,MOVIMIENTO REGIONAL,"29,311","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,UNION POR EL PERU,PARTIDO POLÍTICO,"28,157","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,FUERZA POPULAR,PARTIDO POLÍTICO,"24,801","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,PODER POPULAR ANDINO,MOVIMIENTO REGIONAL,"24,088","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"24,022","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,"3,288","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,"MOVIMIENTO ETNOCACERISTA REGIONAL AMA SUA, AMA LLULLA, AMA QUELLA",MOVIMIENTO REGIONAL,"1,489","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,PERU POSIBLE,PARTIDO POLÍTICO,"1,464","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"1,117","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,VOTOS EN BLANCO,,"21,418","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,030000,APURIMAC,,,VOTOS NULOS,,"16,830","277,161","224,286"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,AREQUIPA RENACE,MOVIMIENTO REGIONAL,"151,075","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,"AREQUIPA, TRADICION Y FUTURO",MOVIMIENTO REGIONAL,"144,024","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,VAMOS PERU,PARTIDO POLÍTICO,"101,707","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,JUNTOS POR EL DESARROLLO DE AREQUIPA,MOVIMIENTO REGIONAL,"91,659","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,VAMOS AREQUIPA,ALIANZA ELECTORAL,"45,986","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,ALIANZA PARA EL PROGRESO DE AREQUIPA,ALIANZA ELECTORAL,"37,595","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,MOVIMIENTO REGIONAL,"30,770","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,SIEMPRE UNIDOS,PARTIDO POLÍTICO,"22,100","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,ACCION POPULAR,PARTIDO POLÍTICO,"14,357","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,UNION POR EL PERU,PARTIDO POLÍTICO,"13,436","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,SOLIDARIDAD NACIONAL,PARTIDO POLÍTICO,"13,123","997,237","863,193"
ELECCIONES REGIONALES Y MUNICIPALES 2014,REGIONAL,2014,040000,AREQUIPA,,,FUERZA POPULAR,PARTIDO POLÍTICO,"10,968","997,237","863,193"
