Year,ZIP_Code,Cancer Group,Male Count,Female Count,Total_Count
2011-2015,61042,All Cancers Combined,14.00,9.00,23.00
2011-2015,61043,All Cancers Combined,2.00,2.00,4.00
2011-2015,61044,All Cancers Combined,6.00,5.00,11.00
2011-2015,61046,All Cancers Combined,50.00,60.00,110.00
2011-2015,61047,All Cancers Combined,23.00,25.00,48.00
2011-2015,61048,All Cancers Combined,65.00,62.00,127.00
2011-2015,61049,All Cancers Combined,8.00,7.00,15.00
2011-2015,61050,All Cancers Combined,4.00,4.00,8.00
2011-2015,61051,All Cancers Combined,25.00,29.00,54.00
2011-2015,61052,All Cancers Combined,9.00,15.00,24.00
2011-2015,61053,All Cancers Combined,62.00,43.00,105.00
2011-2015,61054,All Cancers Combined,70.00,72.00,142.00
2011-2015,61059,All Cancers Combined,3.00,5.00,8.00
2011-2015,61060,All Cancers Combined,15.00,20.00,35.00
2011-2015,61061,All Cancers Combined,111.00,149.00,260.00
2011-2015,61062,All Cancers Combined,20.00,14.00,34.00
2011-2015,61063,All Cancers Combined,55.00,77.00,132.00
2011-2015,61064,All Cancers Combined,57.00,72.00,129.00
2011-2015,61065,All Cancers Combined,126.00,130.00,256.00
2011-2015,61067,All Cancers Combined,17.00,15.00,32.00
2011-2015,61068,All Cancers Combined,180.00,194.00,374.00
2011-2015,61070,All Cancers Combined,17.00,17.00,34.00
2011-2015,61071,All Cancers Combined,258.00,256.00,514.00
2011-2015,61072,All Cancers Combined,155.00,160.00,315.00
2011-2015,61073,All Cancers Combined,276.00,284.00,560.00
2011-2015,61074,All Cancers Combined,71.00,81.00,152.00
2011-2015,61075,All Cancers Combined,13.00,13.00,26.00
2011-2015,61077,All Cancers Combined,1.00,3.00,4.00
2011-2015,61078,All Cancers Combined,23.00,33.00,56.00
2011-2015,61079,All Cancers Combined,2.00,6.00,8.00
2011-2015,61080,All Cancers Combined,135.00,137.00,272.00
2011-2015,61081,All Cancers Combined,332.00,324.00,656.00
2011-2015,61084,All Cancers Combined,34.00,49.00,83.00
2011-2015,61085,All Cancers Combined,67.00,52.00,119.00
2011-2015,61087,All Cancers Combined,31.00,26.00,57.00
2011-2015,61088,All Cancers Combined,81.00,91.00,172.00
2011-2015,61089,All Cancers Combined,5.00,16.00,21.00
2011-2015,61091,All Cancers Combined,1.00,1.00,2.00
2011-2015,61101,All Cancers Combined,281.00,337.00,618.00
2011-2015,61102,All Cancers Combined,242.00,240.00,482.00
2011-2015,61103,All Cancers Combined,335.00,391.00,726.00
2011-2015,61104,All Cancers Combined,186.00,206.00,392.00
2011-2015,61105,All Cancers Combined,4.00,4.00,8.00
2011-2015,61106,All Cancers Combined,0.00,2.00,2.00
2011-2015,61107,All Cancers Combined,451.00,521.00,972.00
2011-2015,61108,All Cancers Combined,424.00,507.00,931.00
2011-2015,61109,All Cancers Combined,371.00,400.00,771.00
2011-2015,61110,All Cancers Combined,3.00,3.00,6.00
2011-2015,61111,All Cancers Combined,306.00,383.00,689.00
2011-2015,61112,All Cancers Combined,1.00,1.00,2.00
2011-2015,61114,All Cancers Combined,271.00,301.00,572.00
2011-2015,61115,All Cancers Combined,310.00,351.00,661.00
2011-2015,61125,All Cancers Combined,7.00,1.00,8.00
2011-2015,61126,All Cancers Combined,5.00,8.00,13.00
2011-2015,61130,All Cancers Combined,1.00,0.00,1.00
2011-2015,61131,All Cancers Combined,1.00,0.00,1.00
2011-2015,61132,All Cancers Combined,2.00,6.00,8.00
2011-2015,61201,All Cancers Combined,498.00,531.00,1029.00
2011-2015,61204,All Cancers Combined,4.00,1.00,5.00
2011-2015,61230,All Cancers Combined,21.00,15.00,36.00
2011-2015,61231,All Cancers Combined,96.00,107.00,203.00
2011-2015,61232,All Cancers Combined,21.00,16.00,37.00
2011-2015,61233,All Cancers Combined,8.00,8.00,16.00
2011-2015,61234,All Cancers Combined,16.00,22.00,38.00
2011-2015,61235,All Cancers Combined,21.00,21.00,42.00
2011-2015,61236,All Cancers Combined,1.00,3.00,4.00
2011-2015,61237,All Cancers Combined,1.00,0.00,1.00
2011-2015,61238,All Cancers Combined,58.00,50.00,108.00
2011-2015,61239,All Cancers Combined,10.00,16.00,26.00
2011-2015,61240,All Cancers Combined,103.00,97.00,200.00
2011-2015,61241,All Cancers Combined,117.00,100.00,217.00
2011-2015,61242,All Cancers Combined,28.00,19.00,47.00
2011-2015,61243,All Cancers Combined,5.00,3.00,8.00
2011-2015,61244,All Cancers Combined,348.00,388.00,736.00
2011-2015,61250,All Cancers Combined,53.00,40.00,93.00
2011-2015,61251,All Cancers Combined,5.00,5.00,10.00
2011-2015,61252,All Cancers Combined,117.00,104.00,221.00
2011-2015,61254,All Cancers Combined,226.00,190.00,416.00
2011-2015,61256,All Cancers Combined,36.00,35.00,71.00
2011-2015,61257,All Cancers Combined,20.00,20.00,40.00
2011-2015,61258,All Cancers Combined,2.00,2.00,4.00
2011-2015,61259,All Cancers Combined,26.00,20.00,46.00
2011-2015,61260,All Cancers Combined,5.00,9.00,14.00
2011-2015,61261,All Cancers Combined,22.00,10.00,32.00
2011-2015,61262,All Cancers Combined,11.00,11.00,22.00
2011-2015,61263,All Cancers Combined,5.00,6.00,11.00
2011-2015,61264,All Cancers Combined,222.00,192.00,414.00
2011-2015,61265,All Cancers Combined,610.00,673.00,1283.00
2011-2015,61266,All Cancers Combined,3.00,1.00,4.00
2011-2015,61270,All Cancers Combined,112.00,115.00,227.00
2011-2015,61272,All Cancers Combined,32.00,28.00,60.00
2011-2015,61273,All Cancers Combined,40.00,55.00,95.00
2011-2015,61274,All Cancers Combined,7.00,5.00,12.00
2011-2015,61275,All Cancers Combined,73.00,65.00,138.00
2011-2015,61276,All Cancers Combined,3.00,6.00,9.00
2011-2015,61277,All Cancers Combined,54.00,76.00,130.00
2011-2015,61278,All Cancers Combined,16.00,9.00,25.00
2011-2015,61279,All Cancers Combined,24.00,22.00,46.00
2011-2015,61281,All Cancers Combined,39.00,42.00,81.00
2011-2015,61282,All Cancers Combined,125.00,134.00,259.00
2011-2015,61283,All Cancers Combined,22.00,28.00,50.00
2011-2015,61284,All Cancers Combined,45.00,33.00,78.00
2011-2015,61285,All Cancers Combined,40.00,29.00,69.00
2011-2015,61301,All Cancers Combined,180.00,177.00,357.00
2011-2015,61310,All Cancers Combined,69.00,74.00,143.00
2011-2015,61311,All Cancers Combined,5.00,1.00,6.00
2011-2015,61312,All Cancers Combined,10.00,12.00,22.00
2011-2015,61313,All Cancers Combined,2.00,6.00,8.00
2011-2015,61314,All Cancers Combined,6.00,7.00,13.00
2011-2015,61315,All Cancers Combined,4.00,5.00,9.00
2011-2015,61316,All Cancers Combined,4.00,4.00,8.00
2011-2015,61317,All Cancers Combined,4.00,14.00,18.00
2011-2015,61318,All Cancers Combined,8.00,7.00,15.00
2011-2015,61319,All Cancers Combined,20.00,17.00,37.00
2011-2015,61320,All Cancers Combined,16.00,14.00,30.00
2011-2015,61321,All Cancers Combined,6.00,6.00,12.00
2011-2015,61322,All Cancers Combined,11.00,16.00,27.00
2011-2015,61323,All Cancers Combined,1.00,3.00,4.00
2011-2015,61324,All Cancers Combined,2.00,1.00,3.00
2011-2015,61325,All Cancers Combined,19.00,10.00,29.00
2011-2015,61326,All Cancers Combined,42.00,35.00,77.00
2011-2015,61327,All Cancers Combined,28.00,15.00,43.00
2011-2015,61328,All Cancers Combined,2.00,3.00,5.00
2011-2015,61329,All Cancers Combined,32.00,23.00,55.00
2011-2015,61330,All Cancers Combined,14.00,15.00,29.00
2011-2015,61331,All Cancers Combined,2.00,0.00,2.00
2011-2015,61332,All Cancers Combined,3.00,0.00,3.00
2011-2015,61333,All Cancers Combined,4.00,5.00,9.00
2011-2015,61334,All Cancers Combined,12.00,10.00,22.00
2011-2015,61335,All Cancers Combined,10.00,6.00,16.00
2011-2015,61336,All Cancers Combined,13.00,8.00,21.00
2011-2015,61337,All Cancers Combined,8.00,5.00,13.00
2011-2015,61338,All Cancers Combined,5.00,7.00,12.00
2011-2015,61340,All Cancers Combined,5.00,7.00,12.00
2011-2015,61341,All Cancers Combined,150.00,130.00,280.00
2011-2015,61342,All Cancers Combined,129.00,137.00,266.00
2011-2015,61344,All Cancers Combined,3.00,11.00,14.00
2011-2015,61345,All Cancers Combined,10.00,13.00,23.00
2011-2015,61346,All Cancers Combined,1.00,1.00,2.00
2011-2015,61348,All Cancers Combined,77.00,85.00,162.00
2011-2015,61349,All Cancers Combined,23.00,13.00,36.00
2011-2015,61350,All Cancers Combined,453.00,386.00,839.00
2011-2015,61353,All Cancers Combined,27.00,22.00,49.00
2011-2015,61354,All Cancers Combined,210.00,193.00,403.00
2011-2015,61356,All Cancers Combined,215.00,201.00,416.00
2011-2015,61358,All Cancers Combined,7.00,7.00,14.00
2011-2015,61359,All Cancers Combined,6.00,8.00,14.00
2011-2015,61360,All Cancers Combined,56.00,49.00,105.00
2011-2015,61361,All Cancers Combined,16.00,12.00,28.00
2011-2015,61362,All Cancers Combined,124.00,103.00,227.00
2011-2015,61363,All Cancers Combined,5.00,5.00,10.00
2011-2015,61364,All Cancers Combined,405.00,342.00,747.00
2011-2015,61367,All Cancers Combined,16.00,22.00,38.00
2011-2015,61368,All Cancers Combined,28.00,24.00,52.00
2011-2015,61369,All Cancers Combined,28.00,40.00,68.00
2011-2015,61370,All Cancers Combined,25.00,19.00,44.00
2011-2015,61371,All Cancers Combined,5.00,2.00,7.00
2011-2015,61372,All Cancers Combined,3.00,3.00,6.00
2011-2015,61373,All Cancers Combined,48.00,28.00,76.00
2011-2015,61374,All Cancers Combined,2.00,2.00,4.00
2011-2015,61375,All Cancers Combined,26.00,24.00,50.00
2011-2015,61376,All Cancers Combined,29.00,41.00,70.00
2011-2015,61377,All Cancers Combined,24.00,27.00,51.00
2011-2015,61378,All Cancers Combined,9.00,10.00,19.00
2011-2015,61379,All Cancers Combined,26.00,16.00,42.00
2011-2015,61401,All Cancers Combined,538.00,540.00,1078.00
2011-2015,61402,All Cancers Combined,5.00,7.00,12.00
2011-2015,61410,All Cancers Combined,66.00,65.00,131.00
2011-2015,61411,All Cancers Combined,11.00,8.00,19.00
2011-2015,61412,All Cancers Combined,25.00,27.00,52.00
2011-2015,61413,All Cancers Combined,13.00,8.00,21.00
2011-2015,61414,All Cancers Combined,17.00,14.00,31.00
2011-2015,61415,All Cancers Combined,30.00,24.00,54.00
2011-2015,61416,All Cancers Combined,3.00,5.00,8.00
2011-2015,61417,All Cancers Combined,4.00,4.00,8.00
2011-2015,61418,All Cancers Combined,14.00,8.00,22.00
2011-2015,61419,All Cancers Combined,0.00,2.00,2.00
2011-2015,61420,All Cancers Combined,19.00,22.00,41.00
2011-2015,61421,All Cancers Combined,28.00,15.00,43.00
2011-2015,61422,All Cancers Combined,55.00,59.00,114.00
2011-2015,61423,All Cancers Combined,7.00,11.00,18.00
2011-2015,61424,All Cancers Combined,3.00,0.00,3.00
2011-2015,61425,All Cancers Combined,9.00,5.00,14.00
2011-2015,61427,All Cancers Combined,43.00,34.00,77.00
2011-2015,61428,All Cancers Combined,28.00,16.00,44.00
2011-2015,61430,All Cancers Combined,15.00,16.00,31.00
2011-2015,61431,All Cancers Combined,5.00,7.00,12.00
2011-2015,61432,All Cancers Combined,13.00,14.00,27.00
2011-2015,61433,All Cancers Combined,1.00,0.00,1.00
2011-2015,61434,All Cancers Combined,58.00,55.00,113.00
2011-2015,61435,All Cancers Combined,5.00,2.00,7.00
2011-2015,61436,All Cancers Combined,12.00,17.00,29.00
2011-2015,61437,All Cancers Combined,12.00,14.00,26.00
2011-2015,61438,All Cancers Combined,19.00,22.00,41.00
2011-2015,61439,All Cancers Combined,4.00,5.00,9.00
2011-2015,61440,All Cancers Combined,11.00,10.00,21.00
2011-2015,61441,All Cancers Combined,15.00,11.00,26.00
2011-2015,61442,All Cancers Combined,12.00,16.00,28.00
2011-2015,61443,All Cancers Combined,216.00,250.00,466.00
2011-2015,61447,All Cancers Combined,14.00,14.00,28.00
2011-2015,61448,All Cancers Combined,75.00,71.00,146.00
2011-2015,61449,All Cancers Combined,13.00,12.00,25.00
2011-2015,61450,All Cancers Combined,38.00,21.00,59.00
2011-2015,61451,All Cancers Combined,4.00,7.00,11.00
2011-2015,61452,All Cancers Combined,7.00,5.00,12.00
2011-2015,61453,All Cancers Combined,15.00,9.00,24.00
2011-2015,61454,All Cancers Combined,9.00,18.00,27.00
2011-2015,61455,All Cancers Combined,235.00,268.00,503.00
2011-2015,61458,All Cancers Combined,21.00,16.00,37.00
2011-2015,61459,All Cancers Combined,11.00,11.00,22.00
2011-2015,61460,All Cancers Combined,10.00,4.00,14.00
2011-2015,61462,All Cancers Combined,162.00,171.00,333.00
2011-2015,61465,All Cancers Combined,16.00,18.00,34.00
2011-2015,61466,All Cancers Combined,6.00,7.00,13.00
2011-2015,61467,All Cancers Combined,15.00,19.00,34.00
2011-2015,61468,All Cancers Combined,1.00,4.00,5.00
2011-2015,61469,All Cancers Combined,37.00,50.00,87.00
2011-2015,61470,All Cancers Combined,9.00,12.00,21.00
2011-2015,61471,All Cancers Combined,2.00,3.00,5.00
2011-2015,61472,All Cancers Combined,12.00,9.00,21.00
2011-2015,61473,All Cancers Combined,30.00,22.00,52.00
2011-2015,61474,All Cancers Combined,4.00,6.00,10.00
2011-2015,61475,All Cancers Combined,6.00,5.00,11.00
2011-2015,61476,All Cancers Combined,6.00,10.00,16.00
2011-2015,61477,All Cancers Combined,13.00,13.00,26.00
2011-2015,61478,All Cancers Combined,3.00,6.00,9.00
2011-2015,61479,All Cancers Combined,5.00,2.00,7.00
2011-2015,61480,All Cancers Combined,11.00,29.00,40.00
2011-2015,61482,All Cancers Combined,10.00,6.00,16.00
2011-2015,61483,All Cancers Combined,45.00,41.00,86.00
2011-2015,61484,All Cancers Combined,16.00,16.00,32.00
2011-2015,61485,All Cancers Combined,13.00,10.00,23.00
2011-2015,61486,All Cancers Combined,23.00,25.00,48.00
2011-2015,61488,All Cancers Combined,22.00,21.00,43.00
2011-2015,61489,All Cancers Combined,15.00,16.00,31.00
2011-2015,61490,All Cancers Combined,16.00,21.00,37.00
2011-2015,61491,All Cancers Combined,33.00,25.00,58.00
2011-2015,61501,All Cancers Combined,28.00,21.00,49.00
2011-2015,61516,All Cancers Combined,10.00,4.00,14.00
2011-2015,61517,All Cancers Combined,62.00,53.00,115.00
2011-2015,61519,All Cancers Combined,4.00,1.00,5.00
2011-2015,61520,All Cancers Combined,277.00,263.00,540.00
2011-2015,61523,All Cancers Combined,196.00,195.00,391.00
2011-2015,61524,All Cancers Combined,8.00,3.00,11.00
2011-2015,61525,All Cancers Combined,123.00,109.00,232.00
2011-2015,61526,All Cancers Combined,12.00,12.00,24.00
2011-2015,61528,All Cancers Combined,38.00,37.00,75.00
2011-2015,61529,All Cancers Combined,48.00,46.00,94.00
2011-2015,61530,All Cancers Combined,85.00,88.00,173.00
2011-2015,61531,All Cancers Combined,56.00,72.00,128.00
2011-2015,61532,All Cancers Combined,10.00,11.00,21.00
2011-2015,61533,All Cancers Combined,48.00,37.00,85.00
2011-2015,61534,All Cancers Combined,24.00,23.00,47.00
2011-2015,61535,All Cancers Combined,39.00,19.00,58.00
2011-2015,61536,All Cancers Combined,61.00,47.00,108.00
2011-2015,61537,All Cancers Combined,66.00,45.00,111.00
2011-2015,61539,All Cancers Combined,3.00,5.00,8.00
2011-2015,61540,All Cancers Combined,66.00,48.00,114.00
2011-2015,61541,All Cancers Combined,0.00,1.00,1.00
2011-2015,61542,All Cancers Combined,63.00,63.00,126.00
2011-2015,61543,All Cancers Combined,6.00,1.00,7.00
2011-2015,61544,All Cancers Combined,19.00,12.00,31.00
2011-2015,61545,All Cancers Combined,12.00,7.00,19.00
2011-2015,61546,All Cancers Combined,66.00,56.00,122.00
2011-2015,61547,All Cancers Combined,56.00,55.00,111.00
2011-2015,61548,All Cancers Combined,183.00,176.00,359.00
2011-2015,61550,All Cancers Combined,295.00,320.00,615.00
2011-2015,61552,All Cancers Combined,6.00,9.00,15.00
2011-2015,61553,All Cancers Combined,2.00,5.00,7.00
2011-2015,61554,All Cancers Combined,712.00,737.00,1449.00
2011-2015,61555,All Cancers Combined,5.00,2.00,7.00
2011-2015,61559,All Cancers Combined,52.00,45.00,97.00
2011-2015,61560,All Cancers Combined,27.00,20.00,47.00
2011-2015,61561,All Cancers Combined,48.00,42.00,90.00
2011-2015,61562,All Cancers Combined,3.00,5.00,8.00
2011-2015,61563,All Cancers Combined,19.00,13.00,32.00
2011-2015,61564,All Cancers Combined,13.00,12.00,25.00
2011-2015,61565,All Cancers Combined,38.00,22.00,60.00
2011-2015,61567,All Cancers Combined,22.00,13.00,35.00
2011-2015,61568,All Cancers Combined,56.00,69.00,125.00
2011-2015,61569,All Cancers Combined,33.00,21.00,54.00
2011-2015,61570,All Cancers Combined,20.00,32.00,52.00
2011-2015,61571,All Cancers Combined,373.00,378.00,751.00
2011-2015,61572,All Cancers Combined,27.00,16.00,43.00
2011-2015,61601,All Cancers Combined,7.00,1.00,8.00
2011-2015,61602,All Cancers Combined,25.00,13.00,38.00
2011-2015,61603,All Cancers Combined,221.00,180.00,401.00
2011-2015,61604,All Cancers Combined,469.00,483.00,952.00
2011-2015,61605,All Cancers Combined,242.00,242.00,484.00
2011-2015,61606,All Cancers Combined,36.00,52.00,88.00
2011-2015,61607,All Cancers Combined,206.00,194.00,400.00
2011-2015,61610,All Cancers Combined,89.00,95.00,184.00
2011-2015,61611,All Cancers Combined,431.00,463.00,894.00
2011-2015,61612,All Cancers Combined,12.00,3.00,15.00
2011-2015,61614,All Cancers Combined,436.00,471.00,907.00
2011-2015,61615,All Cancers Combined,324.00,359.00,683.00
2011-2015,61616,All Cancers Combined,98.00,125.00,223.00
2011-2015,61650,All Cancers Combined,0.00,1.00,1.00
2011-2015,61652,All Cancers Combined,1.00,0.00,1.00
2011-2015,61653,All Cancers Combined,1.00,0.00,1.00
2011-2015,61654,All Cancers Combined,0.00,1.00,1.00
2011-2015,61656,All Cancers Combined,0.00,1.00,1.00
2011-2015,61701,All Cancers Combined,432.00,517.00,949.00
2011-2015,61702,All Cancers Combined,7.00,6.00,13.00
2011-2015,61704,All Cancers Combined,421.00,444.00,865.00
2011-2015,61705,All Cancers Combined,154.00,151.00,305.00
2011-2015,61720,All Cancers Combined,5.00,7.00,12.00
2011-2015,61721,All Cancers Combined,18.00,8.00,26.00
2011-2015,61722,All Cancers Combined,6.00,5.00,11.00
2011-2015,61723,All Cancers Combined,36.00,47.00,83.00
2011-2015,61724,All Cancers Combined,7.00,12.00,19.00
2011-2015,61725,All Cancers Combined,28.00,11.00,39.00
2011-2015,61726,All Cancers Combined,36.00,43.00,79.00
2011-2015,61727,All Cancers Combined,167.00,207.00,374.00
2011-2015,61728,All Cancers Combined,26.00,30.00,56.00
2011-2015,61729,All Cancers Combined,10.00,8.00,18.00
2011-2015,61730,All Cancers Combined,3.00,7.00,10.00
2011-2015,61731,All Cancers Combined,9.00,1.00,10.00
2011-2015,61732,All Cancers Combined,45.00,27.00,72.00
2011-2015,61733,All Cancers Combined,21.00,9.00,30.00
2011-2015,61734,All Cancers Combined,44.00,46.00,90.00
2011-2015,61735,All Cancers Combined,9.00,9.00,18.00
2011-2015,61736,All Cancers Combined,20.00,17.00,37.00
2011-2015,61737,All Cancers Combined,5.00,4.00,9.00
2011-2015,61738,All Cancers Combined,63.00,55.00,118.00
2011-2015,61739,All Cancers Combined,86.00,87.00,173.00
2011-2015,61740,All Cancers Combined,27.00,40.00,67.00
2011-2015,61741,All Cancers Combined,20.00,20.00,40.00
2011-2015,61742,All Cancers Combined,13.00,14.00,27.00
2011-2015,61743,All Cancers Combined,3.00,1.00,4.00
2011-2015,61744,All Cancers Combined,29.00,26.00,55.00
2011-2015,61745,All Cancers Combined,55.00,64.00,119.00
2011-2015,61747,All Cancers Combined,22.00,27.00,49.00
2011-2015,61748,All Cancers Combined,50.00,49.00,99.00
2011-2015,61749,All Cancers Combined,13.00,11.00,24.00
2011-2015,61750,All Cancers Combined,2.00,0.00,2.00
2011-2015,61751,All Cancers Combined,3.00,1.00,4.00
2011-2015,61752,All Cancers Combined,61.00,63.00,124.00
2011-2015,61753,All Cancers Combined,57.00,42.00,99.00
2011-2015,61754,All Cancers Combined,20.00,23.00,43.00
2011-2015,61755,All Cancers Combined,56.00,58.00,114.00
2011-2015,61756,All Cancers Combined,41.00,40.00,81.00
2011-2015,61759,All Cancers Combined,28.00,26.00,54.00
2011-2015,61760,All Cancers Combined,56.00,36.00,92.00
2011-2015,61761,All Cancers Combined,410.00,474.00,884.00
2011-2015,61764,All Cancers Combined,246.00,253.00,499.00
2011-2015,61769,All Cancers Combined,7.00,12.00,19.00
2011-2015,61770,All Cancers Combined,20.00,17.00,37.00
2011-2015,61771,All Cancers Combined,21.00,11.00,32.00
2011-2015,61772,All Cancers Combined,3.00,8.00,11.00
2011-2015,61773,All Cancers Combined,12.00,5.00,17.00
2011-2015,61774,All Cancers Combined,15.00,15.00,30.00
2011-2015,61775,All Cancers Combined,1.00,6.00,7.00
2011-2015,61776,All Cancers Combined,25.00,26.00,51.00
2011-2015,61777,All Cancers Combined,23.00,26.00,49.00
2011-2015,61778,All Cancers Combined,13.00,14.00,27.00
2011-2015,61801,All Cancers Combined,171.00,211.00,382.00
2011-2015,61802,All Cancers Combined,247.00,265.00,512.00
2011-2015,61803,All Cancers Combined,3.00,13.00,16.00
2011-2015,61810,All Cancers Combined,3.00,5.00,8.00
2011-2015,61811,All Cancers Combined,8.00,7.00,15.00
2011-2015,61812,All Cancers Combined,2.00,6.00,8.00
2011-2015,61813,All Cancers Combined,35.00,33.00,68.00
2011-2015,61814,All Cancers Combined,19.00,19.00,38.00
2011-2015,61815,All Cancers Combined,6.00,8.00,14.00
2011-2015,61816,All Cancers Combined,7.00,10.00,17.00
2011-2015,61817,All Cancers Combined,55.00,51.00,106.00
2011-2015,61818,All Cancers Combined,31.00,27.00,58.00
2011-2015,61820,All Cancers Combined,188.00,182.00,370.00
2011-2015,61821,All Cancers Combined,336.00,379.00,715.00
2011-2015,61822,All Cancers Combined,261.00,266.00,527.00
2011-2015,61824,All Cancers Combined,7.00,3.00,10.00
2011-2015,61825,All Cancers Combined,3.00,3.00,6.00
2011-2015,61826,All Cancers Combined,6.00,10.00,16.00
2011-2015,61830,All Cancers Combined,11.00,7.00,18.00
2011-2015,61831,All Cancers Combined,1.00,0.00,1.00
2011-2015,61832,All Cancers Combined,601.00,610.00,1211.00
2011-2015,61833,All Cancers Combined,50.00,58.00,108.00
2011-2015,61834,All Cancers Combined,171.00,109.00,280.00
2011-2015,61839,All Cancers Combined,14.00,11.00,25.00
2011-2015,61840,All Cancers Combined,11.00,12.00,23.00
2011-2015,61841,All Cancers Combined,19.00,24.00,43.00
2011-2015,61842,All Cancers Combined,54.00,52.00,106.00
2011-2015,61843,All Cancers Combined,36.00,33.00,69.00
2011-2015,61844,All Cancers Combined,15.00,11.00,26.00
2011-2015,61845,All Cancers Combined,5.00,6.00,11.00
2011-2015,61846,All Cancers Combined,71.00,94.00,165.00
2011-2015,61847,All Cancers Combined,30.00,18.00,48.00
2011-2015,61848,All Cancers Combined,1.00,2.00,3.00
2011-2015,61849,All Cancers Combined,27.00,31.00,58.00
2011-2015,61850,All Cancers Combined,11.00,9.00,20.00
2011-2015,61851,All Cancers Combined,7.00,12.00,19.00
2011-2015,61852,All Cancers Combined,12.00,5.00,17.00
2011-2015,61853,All Cancers Combined,144.00,176.00,320.00
2011-2015,61854,All Cancers Combined,36.00,24.00,60.00
2011-2015,61855,All Cancers Combined,3.00,4.00,7.00
2011-2015,61856,All Cancers Combined,115.00,134.00,249.00
2011-2015,61857,All Cancers Combined,4.00,2.00,6.00
2011-2015,61858,All Cancers Combined,64.00,76.00,140.00
2011-2015,61859,All Cancers Combined,24.00,10.00,34.00
2011-2015,61862,All Cancers Combined,8.00,3.00,11.00
2011-2015,61863,All Cancers Combined,20.00,14.00,34.00
2011-2015,61864,All Cancers Combined,26.00,26.00,52.00
2011-2015,61865,All Cancers Combined,24.00,23.00,47.00
2011-2015,61866,All Cancers Combined,145.00,197.00,342.00
2011-2015,61870,All Cancers Combined,19.00,18.00,37.00
2011-2015,61871,All Cancers Combined,3.00,6.00,9.00
2011-2015,61872,All Cancers Combined,11.00,9.00,20.00
2011-2015,61873,All Cancers Combined,63.00,93.00,156.00
2011-2015,61874,All Cancers Combined,79.00,100.00,179.00
2011-2015,61875,All Cancers Combined,10.00,6.00,16.00
2011-2015,61876,All Cancers Combined,11.00,17.00,28.00
2011-2015,61877,All Cancers Combined,27.00,22.00,49.00
2011-2015,61878,All Cancers Combined,18.00,23.00,41.00
2011-2015,61880,All Cancers Combined,49.00,43.00,92.00
2011-2015,61882,All Cancers Combined,9.00,11.00,20.00
2011-2015,61883,All Cancers Combined,93.00,71.00,164.00
2011-2015,61884,All Cancers Combined,11.00,24.00,35.00
2011-2015,61910,All Cancers Combined,54.00,45.00,99.00
2011-2015,61911,All Cancers Combined,53.00,56.00,109.00
2011-2015,61912,All Cancers Combined,24.00,16.00,40.00
2011-2015,61913,All Cancers Combined,35.00,31.00,66.00
2011-2015,61914,All Cancers Combined,33.00,34.00,67.00
2011-2015,61917,All Cancers Combined,14.00,11.00,25.00
2011-2015,61919,All Cancers Combined,16.00,11.00,27.00
2011-2015,61920,All Cancers Combined,252.00,233.00,485.00
2011-2015,61924,All Cancers Combined,31.00,40.00,71.00
2011-2015,61925,All Cancers Combined,18.00,10.00,28.00
2011-2015,61928,All Cancers Combined,8.00,5.00,13.00
2011-2015,61929,All Cancers Combined,21.00,11.00,32.00
2011-2015,61930,All Cancers Combined,13.00,4.00,17.00
2011-2015,61931,All Cancers Combined,11.00,12.00,23.00
2011-2015,61932,All Cancers Combined,9.00,7.00,16.00
2011-2015,61933,All Cancers Combined,28.00,17.00,45.00
2011-2015,61936,All Cancers Combined,4.00,4.00,8.00
2011-2015,61937,All Cancers Combined,28.00,31.00,59.00
2011-2015,61938,All Cancers Combined,368.00,374.00,742.00
2011-2015,61940,All Cancers Combined,3.00,7.00,10.00
2011-2015,61941,All Cancers Combined,1.00,2.00,3.00
2011-2015,61942,All Cancers Combined,23.00,16.00,39.00
2011-2015,61943,All Cancers Combined,22.00,29.00,51.00
2011-2015,61944,All Cancers Combined,189.00,234.00,423.00
2011-2015,61949,All Cancers Combined,3.00,5.00,8.00
2011-2015,61951,All Cancers Combined,126.00,151.00,277.00
2011-2015,61953,All Cancers Combined,91.00,107.00,198.00
2011-2015,61955,All Cancers Combined,3.00,0.00,3.00
2011-2015,61956,All Cancers Combined,45.00,56.00,101.00
2011-2015,61957,All Cancers Combined,27.00,35.00,62.00
2011-2015,62001,All Cancers Combined,28.00,38.00,66.00
2011-2015,62002,All Cancers Combined,510.00,546.00,1056.00
2011-2015,62006,All Cancers Combined,10.00,12.00,22.00
2011-2015,62009,All Cancers Combined,34.00,32.00,66.00
2011-2015,62010,All Cancers Combined,164.00,185.00,349.00
2011-2015,62011,All Cancers Combined,2.00,4.00,6.00
2011-2015,62012,All Cancers Combined,92.00,90.00,182.00
2011-2015,62013,All Cancers Combined,10.00,11.00,21.00
2011-2015,62014,All Cancers Combined,68.00,52.00,120.00
2011-2015,62015,All Cancers Combined,8.00,4.00,12.00
2011-2015,62016,All Cancers Combined,58.00,67.00,125.00
2011-2015,62017,All Cancers Combined,19.00,26.00,45.00
2011-2015,62018,All Cancers Combined,52.00,68.00,120.00
2011-2015,62019,All Cancers Combined,9.00,7.00,16.00
2011-2015,62021,All Cancers Combined,18.00,8.00,26.00
2011-2015,62022,All Cancers Combined,21.00,22.00,43.00
2011-2015,62023,All Cancers Combined,1.00,1.00,2.00
